BUDE (SCHOOL HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS207062,Long,-4.547272,Lat,50.8275,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,3.43,4.96,1.5,4.04,1.51,1.82,4.37,4.1,4.75,3.94,3.57,2.62,4.33,3.3,5.19,5.48,6.47,1.56,5.72,3.09,3.28,3.51,3.5,1.32,4.17,3.87,5.17,5.01,2.32,3.59,4.72,5.25,2.8,3.5,3.34,2.92,6.44,1.27,1.28,4.92,3.4,1.22,2.25,4.17,3.35,2.55,3.48,4.22,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.11,0.95,3.12,5.38,6.34,1.73,1.95,3.92,1.04,0.22,3.57,5.94,1.35,5.48,2.72,2.06,2.71,1.3,1.82,2.42,0,2.12,0.19,4.59,2.42,6.37,0.99,1.77,3.25,4.32,0.28,2.09,0.8,3.14,2.79,1.09,1.34,1.03,4.93,3.7,1.23,1.65,4.1,2.67,0.52,3.71,4.1,0.62,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,4.91,4.42,5.61,0.84,2.65,2.4,1.77,3.72,3.42,2.96,3.06,0.96,,0.82,0.5,3.16,3.57,0.33,2.44,2.47,1.87,3.17,1.87,1.19,2.05,4.47,0.58,1.12,2.41,3.8,2.27,0.98,0.29,1.58,1.01,6.12,1.04,1.73,1.4,4.68,3.18,1.01,2.5,1.03,2.52,3.1,1.09,3.41,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.2,3.09,1.81,1.44,1.08,1.97,2.15,1.92,3.6,0.95,3.16,2.4,,2.8,1.68,1.99,1.44,0.98,2.07,1.79,1.79,1.41,2.38,4.29,1.93,2.75,0.04,1.47,2.73,0.89,1.66,1.03,2.14,0.85,1.74,1.9,1.95,1.79,2.31,2.45,2.65,2.34,0.79,1.57,0.76,0.25,0.98,2.24,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.76,1.24,3.04,1.33,2.16,2.17,1.69,1.01,1.48,1.75,1.33,1.53,2.08,2.83,4.01,1.54,0.93,1.04,3.29,2.1,2.15,3.31,1.51,1.28,1.73,0.56,1.6,2.54,0.75,1.56,2.02,4.46,2.89,1.42,4.01,2.89,3.45,2.24,2.21,2,3.62,2.45,2.45,2.1,2.89,0.76,1.57,2.55,1.14,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.45,6.25,1.3,2.16,1.54,1.96,5,1.16,0.91,2.5,0.03,1.13,1.18,1.63,0,1.25,2.88,2.26,2.18,0.9,2.86,0.8,1.03,1.56,2.4,3.21,1.18,1.91,1.26,0.61,1.57,0.4,1.66,2.76,3.2,3.6,3.14,2.71,0.32,1.46,0.51,1.92,1.13,2.73,2.46,1.91,2.72,3.82,0.69,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.38,3.52,0.37,4.14,3.02,0.9,2.09,3.96,0.72,3.77,1.33,2.6,2.69,4.68,4.17,2.23,2.66,2.02,2.2,2.22,5.28,3.16,2.34,0.63,0.98,7.21,2.24,2.07,4.65,3.36,1.67,1.61,2.79,2.36,3.68,2.38,2.33,2.06,1.83,2.93,1.03,0.89,4.47,4.73,1.64,4.12,2.89,2.85,2.34,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.76,8.56,1.18,3.47,2.1,1.88,4.14,2.5,2.76,1.89,4.01,2.57,1.73,,3.74,3.14,3.52,3.11,2.35,3.28,5.37,1.14,1.35,3.44,1.65,0.67,0.36,5.8,2.68,0.24,4.35,3.17,2.84,2.84,1.73,4.33,0.32,3.16,1.63,6.13,4.48,5.47,2.75,2.77,0.34,3.04,3.45,6.65,2.27,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.76,0.72,2.36,2.44,1.86,2.1,1.77,7.58,1.67,3.87,2.01,2.1,2.79,3.83,3.42,1.37,6.56,1.79,0.43,3.94,2.36,5.13,2.24,2.7,3.63,2.2,3.05,1.42,0.88,1.74,0.4,4.96,4.95,2.99,1.99,4.66,1.71,1.8,3.96,5.74,2.53,3.32,3.49,3.4,1.34,3.62,3.72,5.98,0.29,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,3.21,4.02,2.71,1.53,3.76,5.15,5.55,2.7,0.85,5.82,1.34,1.72,5.34,5.45,3.5,2.44,2.06,4.94,6.81,4.77,1.11,8.44,5.07,3.06,6.05,1.8,2.59,4.5,2.87,2.78,2.34,3.3,3.85,3.99,2.67,2.06,1.4,5.24,8.17,2.3,1.76,5.07,2.05,3.51,2.48,1.98,4.22,3.56,4.68,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
