SHREWSBURY DITHERINGTON MILL 5 INCH GAUGE (MARSHALL & CO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ498138,Long,-2.447,Lat,52.7197,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,
January,,,,,,,1.69,3.43,1.4,0.84,0.44,0.29,2.81,2.59,2.87,1.1,2.5,,,,,,,,,,,,
February,,,,,,,1.69,1.83,0.85,1.78,1.62,2.61,1.97,1.63,1.99,1.69,0.68,,,,,,,,,,,,
March,,,,,,,2.23,1.75,0.49,0.58,0.79,1.29,1.23,0.81,1.56,0.63,1.87,,,,,,,,,,,,
April,,,,,,,2.04,2.6,1.76,2.55,1.23,0.65,1.94,0.91,0.98,1.93,0.78,,,,,,,,,,,,
May,,,,,,,0.79,1.74,4.43,1.55,2.55,1.29,1.5,1.38,0.63,1.69,6.87,,,,,,,,,,,,
June,,,,,,,1.5,1.41,2.71,4.49,2.87,2.04,3.05,1.94,2.94,4.42,1.35,,,,,,,,,,,,
July,,,,,,,2.24,3.37,1.24,2.98,6.14,1.37,3.76,1.17,2.56,0.46,2.12,,,,,,,,,,,,
August,,,,,,,2.24,5.98,5.17,5.45,0.84,2.8,1.69,0.92,1.96,2.9,1.24,,,,,,,,,,,,
September,,,,,,3.21,4.33,2.18,2.82,2.3,1.87,1.18,1.76,5.46,1.39,2.29,2.25,,,,,,,,,,,,
October,,,,,,3.49,2.31,2.08,4.32,1.09,5.17,1.89,4.07,2.3,1.29,4.28,3.47,,,,,,,,,,,,
November,,,,,,2.5,3.54,2.35,2.97,0.83,2.17,2.16,3.4,3.02,1.22,2.58,,,,,,,,,,,,,
December,,,,,,0.94,3.39,1.64,1.27,0.78,3.39,2.01,2.33,0.68,1.5,0.57,,,,,,,,,,,,,
Total,,,,,,,27.99,30.36,29.43,25.22,29.08,19.58,29.51,22.81,20.89,24.54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The site is called Shrewsbury on the record sheets and the observer Marshall & Co, who operated Ditherington Flax Mill at the time of the observations, hence the GR is for the mill. There are no corroborating information on the sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The elevation 240 ft. suggests the gauge may have been on the roof of the mill buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 10 inch gauge was installed at the site in 1860, see separate record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
