UPWELL-EUXIMOOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF491000,Long,0.198932,Lat,52.577379,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.56,1.08,1.9,2.51,2.86,1.57,1.31,0.15,0.64,1.25,1.52,1.38,1.17,2.17,1.44,0.77,0.84,2.16,1.74,0.78,1.57,1.57,2.33,1.08,1.42,1.45,1.97,3.1,0.68,0.7,1.68,1.83,1.12,3.29,1.02,0.95,0.8,1.56,1.62,3.02,2.09,1.56,2.61,,1.23,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.75,0.75,0.84,2.95,1.83,1.33,2.26,1.58,2.03,1.39,2.73,0.4,1.78,0.23,0.68,1.36,1.42,0.66,0.06,2.11,1.97,1.24,0.18,0.89,2.13,0.7,0.97,2.87,1,1.18,0.45,2.75,0.88,1.87,1.16,1.39,0.37,2.27,1.17,1.06,0.66,0.86,2.05,,0.73,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.34,1.35,0.37,2.69,1.56,0.55,0.5,0.68,1.52,1.47,1.35,0.97,0.74,1.59,1.07,2.59,1.12,2.33,0.95,0.48,0.22,0.74,1.69,2.67,2.17,1.74,0.63,0.8,2,1.34,2.12,1.17,2.12,1.73,1.25,1.76,3.15,0.69,2.1,2.21,2.21,2.72,1.27,,2,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.62,1.33,1.43,0.94,4.57,3.18,1.42,2.29,2.09,1.61,2.62,1.24,1.27,0.98,1.44,1.49,1.7,2.01,0.34,0.73,1.58,0.13,1.23,1.33,0.89,1.57,1.47,1.98,0.91,2.2,1.13,1.5,0.74,1.79,0.68,2.51,3.12,1.09,2.11,1.12,0.17,1.52,0.57,0.38,,1.84,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.97,2.18,1.23,1.44,1.44,1.73,4.18,3.43,0.65,0.79,1.12,0.98,0.72,2.03,2.4,1.54,0.74,3.89,2.52,3.13,1.36,0.72,2.23,0.51,0.59,1.04,2.75,2.32,1.52,0.87,3.67,2.41,2.24,0.82,1.29,2.14,1.58,1.45,2.65,0.74,2.3,1.92,0.86,2.26,,0.8,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.15,1.67,1.79,3.62,2.84,2.47,1.14,4.54,2.68,2.7,2.63,4.8,1.61,1.57,1.12,0.53,1.79,1.19,2.66,1.81,2.42,0.86,2.93,1.01,1.96,1.81,2.63,1.39,1.81,2.13,3.6,2.25,0.7,4.02,3.64,1.97,1.23,4.81,0.91,2.01,3.39,1.19,2.15,1.44,,2.06,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.34,3.17,0.65,6.23,2.63,2.07,0.67,5.17,6.69,2.12,2.64,2.96,2.69,0.47,5.44,1.76,4.4,3.82,2.34,3.78,2.61,2.93,2.86,1.57,1.53,0.38,0.77,1.78,1.33,1.44,1.61,4.08,3.62,0.71,0.49,2.29,2.23,3.47,3.26,0.08,3.91,0.93,1.72,3.64,,2.33,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.52,3.7,2.02,2.13,2.06,3.11,3.99,3.12,2.6,3.58,2.05,0.87,1.56,1.35,2.26,1.47,2.64,2.07,1.86,4.47,2.46,2.55,2.29,1.81,2.3,2.72,2.46,2.25,3.86,2.01,2.27,2.92,2.39,2.23,1.69,2.46,2.09,2.21,1.5,1.82,8.87,0.86,1.89,2.75,,4.61,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2,2.32,2.62,1.84,2.93,1.36,1.42,2.73,4.13,2.53,2.97,5.64,2.33,3.68,1.25,2.11,1.09,2.5,0.41,0.85,2.03,0.84,1.7,0.49,3.48,4.6,0.32,3.85,0.49,0.84,1.23,3.22,1.54,4.25,0.88,0.57,1.46,1.42,0.83,2.17,1.59,1.64,0.57,0.76,,2.18,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.16,2.17,1.46,2.88,0.82,1.27,1.99,0.7,4.8,2.34,4.89,1.55,1.06,4.15,3.93,1.93,0.68,3.21,1.24,4.04,5.03,2.57,2.65,2.33,4,0.94,3.03,2.69,1.81,1.88,1.66,5.59,1.76,1.42,3.47,2.57,1.06,3.39,1.62,1.84,1.86,3.12,1.74,1.36,,3.6,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
