WINDERMERE THE WOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD407994,Long,-2.9134,Lat,54.3868,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,7.18,10.62,9.77,6.68,9.37,7.03,4.46,14.04,12.31,9.16,12.56,5.97,12.8,8.23,2.5,1.94,0.73,6.4,,,,,,,
February,,,,,,6.91,7.79,8.31,11.05,12.94,4.27,8.11,7.31,3.79,4.43,2.21,7.8,5.33,4.46,5.26,7.51,8.03,8.66,,,,,,,
March,,,,,,2.6,5.66,3.73,9.43,2.1,3.67,4.17,7.16,2.41,5.45,2.04,6.26,3.55,3.71,4.96,3.14,9.62,6.86,,,,,,,
April,,,,,,1.13,2.84,7.77,4,4.23,2.26,3.74,2.73,0.45,2.14,2.04,3.73,3.37,3.29,1.6,3.22,2.49,5.75,,,,,,,
May,,,,,,7.45,2,3.04,3.02,3.34,5.89,1.9,3.13,3.34,1.18,3.18,0.87,4.39,5.7,1.65,2.54,5.93,3.14,,,,,,,
June,,,,,,0.64,3.27,1.55,1.18,1.9,2.04,1.76,5.91,4.12,3.22,6.08,4.18,3.97,4.64,7.38,4.36,6.56,6.11,,,,,,,
July,,,,,,2.59,4.06,5.54,0.61,2.41,0.75,6.23,4.97,8,3.03,3.37,3.29,6.39,0.35,7.25,7.04,6.23,12.16,,,,,,,
August,,,,,,7.91,6.19,4.71,9.24,2.35,1.88,4.66,5.68,6.47,9.4,4.79,5.18,8.61,6.3,6.12,1.58,7.42,4.69,,,,,,,
September,,,,,,2.45,12.33,6.99,4.2,14.89,5.41,3.71,10.96,3.92,6.93,7.96,5.46,4.05,7.3,7.04,5.31,3.8,3.43,,,,,,,
October,,,,,,5.99,5.11,7.87,9.78,4.12,12.57,10.08,9.76,9.84,14.56,7.37,5.21,11.76,6.09,3.44,2.48,4.26,4.6,,,,,,,
November,,,,,,6.69,10.86,1.17,5.44,9.24,5.39,2.69,9.24,3.6,5.38,7.12,5.02,12.55,3.3,2.34,11.07,10.89,6.26,,,,,,,
December,,,,,,5.53,10.23,6.95,16.58,9.17,2.76,8.68,7.96,3.12,5.53,4.65,11.54,8.24,3.81,7.01,8.28,9.26,7.24,,,,,,,
Total,,,,,,57.07,80.96,67.4,81.21,76.06,53.92,60.19,88.85,61.37,70.41,63.37,64.51,85.01,57.18,56.55,58.47,75.22,75.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR for the house The Wood, occupied by the main observer G eorge Braithwaite Crewdson up to his heath in 1876 when a G. Crewsdon took over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
