LOCH DOON (DAM),,,,,,,,,,
Grid ref,NS477013,Long,-4.399437,Lat,55.282215,Elevation,625,ft,,
Station no,5257/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.44,,,,,,,
February,,,1.88,,,,,,,
March,,,0.59,,,,,,,
April,,,2.23,,,,,,,
May,,,3.06,,,,,,,
June,,,1.69,,,,,,,
July,,,5.16,,,,,,,
August,,,3.75,,,,,,,
September,,,5.56,,,,,,,
October,,,3.91,,,,,,,
November,,3.57,7.04,,,,,,,
December,,5.37,4.1,,,,,,,
Total,,,41.41,,,,,,,
,,,,,,,,,,
"name and elevation change 1954 onwards - to Loch Doon Starr - and data transferred, hence deleted from here",,,,,,,,,,
