SHANKLIN-MIX-(EASTCLIFF-ROAD),,,,,,,,,,
Grid ref,SZ581811,Long,-1.1786,Lat,50.6272,Elevation,199,ft,,
Station no,595,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.13,8.35,1.01,1.03,1.2
February,,,,,,0.75,3.68,1.41,1.23,0.44
March,,,,,,5.27,1.38,0.63,2.56,3.75
April,,,,,,3.08,1.44,3.85,2.17,1.2
May,,,,,,0.47,2.61,2.41,1.62,1.32
June,,,,,,4.6,1.67,1.67,0.69,3.51
July,,,,,,0.26,0.87,1.26,1.9,2.35
August,,,,,,2.68,0.4,1.27,3.09,2.58
September,,,,,,3.82,1.88,1.06,2.61,
October,,,,,,2.42,5.06,5.81,1.53,
November,,,,,,5.81,5.57,2.57,1.24,
December,,,,,,0.91,2.15,3.15,4.57,
Total,,,,,,31.2,35.06,26.1,24.24,
,,,,,,,,,,
,,,,,,,,,,
"The obs lived in Eastcliff Road, and although it is unclear which house, there is an open area to the north which matches the given distance to the church, station, Pomona Road, and elevation",,,,,,,,,,
1909 Sept Gauge moved 133 yrds WSW to Pomona Road,,,,,,,,,,
