LYNMOUTH-RECREATION-GROUND,,,,,,,,,,
Grid ref,SS724495,Long,-3.828912,Lat,51.23038,Elevation,20,ft,,
Station no,1830/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.18,4.48
February,,,,,,,,,0.21,3.55
March,,,,,,,,,3.92,2.18
April,,,,,,,,,3.85,2.42
May,,,,,,,,,1.57,1.18
June,,,,,,,,,1.52,1.87
July,,,,,,,,,2.79,4.58
August,,,,,,,,,1.97,4.71
September,,,,,,,,,0.42,4.9
October,,,,,,,,,6.29,9.14
November,,,,,,,,,8.6,9.56
December,,,,,,,,,9.03,6.91
Total,,,,,,,,,45.35,55.48
,,,,,,,,,,
1959 Site satisfactory but gauge liable to interference,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Lynmouth SRC_ID 9006,,,,,,,,,,
1959-1966,,,,,,,,,,
