CAMBORNE-UNION-STREET,,,,,,,,,,
Grid ref,SW648400,Long,-5.29741,Lat,50.2137,Elevation,330,ft,,
Station no,RR7251,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.86,5.31,10.58,6.37,5.24,9.48,1.97,7.9,2.35,6.82
February,4.59,2.77,7.89,5.93,4.13,2.97,4.55,2.16,2.53,5.78
March,3.62,1.74,5.01,5.2,1.68,1.47,4.63,2.21,2.05,2.06
April,0.1,5.58,3.44,0.42,1.98,2.43,3.07,4.52,3.61,2.39
May,1.83,0.79,3.11,1.78,1.06,2.75,0.05,4.46,5.18,1.64
June,0.3,1.57,3.97,2.25,2.34,3.37,1.26,2.01,2.55,7.4
July,1.83,6.04,3.11,5.43,1.49,3.14,1.18,3.77,1.1,4.32
August,3.9,2.61,1.44,5.19,4.57,2.5,3.17,6.3,3.78,4.35
September,2.06,9.64,3.63,2.64,7.34,5.05,5.82,2.58,3.48,4.84
October,6.67,7.73,7.68,4.29,6.87,6.68,4.88,3.75,5.41,2.36
November,5.38,2.45,6.34,4.49,4.54,5.29,4.69,8,5.9,3.36
December,2.53,5.11,7.47,1.16,8.61,3.2,10.3,3.89,7.62,1.77
Total,35.67,51.34,63.67,45.15,49.85,48.33,45.57,51.55,45.56,47.09
,,,,,,,,,,
BR has no entry for 1869,,,,,,,,,,
Observer lived in Union St Exact location unknown but northern half matches elevation,,,,,,,,,,
BR has no entry for 1880 as record imperfect,,,,,,,,,,
