FORT WILLIAM OBSERVATORY,,,,,,,,,,,,,,,,,,,,
Grid ref,NN097734,Long,-5.11915,Lat,56.813054,Elevation,33,ft,,,,,,,,,,,,
Station no,RR441,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,18.78,7.89,9.06,5.41,12.26,2.76,8.75,1.65,13.6,7,9.99,6.98,9.46,15.49,7.64,,,,,
February,1.56,7.42,2.32,8.47,14.47,1.08,8.27,7.94,10.67,4.77,3.26,2.04,1.1,16.46,5.93,,,,,
March,10.64,4.37,1.88,4.44,8.39,5.25,9.69,7.83,6.91,8.54,0.64,3.89,7.42,15.9,5.25,,,,,
April,2.86,1.41,2.01,3.12,1.34,5.29,3.63,3.94,6.66,5.41,5.87,5.38,3.16,3.46,9.74,,,,,
May,2.5,2.2,5.94,2.73,3.74,1.64,1.29,4.46,2.64,2.1,6.04,1.41,4.46,4.32,6.05,,,,,
June,7.19,3.27,3.66,1.89,3.14,2.93,4.79,3.97,4.06,2.03,4.4,5.85,1.59,3.36,4.73,,,,,
July,6.97,3.68,5.34,4.65,6.24,4.61,3.74,6.52,2.82,4.28,4.51,3.19,3.53,5.79,5.15,,,,,
August,5.81,8.37,8.33,6.6,7.06,9.12,6.12,4.91,7.04,1.67,6.06,5.31,4.82,11.98,6.92,,,,,
September,6.91,12.9,13.99,9.35,0.28,5.22,6.8,9.58,10.21,8.73,7.4,6.6,5.32,6.61,,,,,,
October,12.58,9.42,5.26,12.7,2.12,4.55,4.96,6.15,6.9,9.16,8.8,8.84,8.72,12.46,,,,,,
November,9.23,6.01,9.43,8.03,11.1,8.55,4.45,6.42,7.76,12.65,4.37,4.63,3.4,5.41,,,,,,
December,0.93,11.8,5.49,16.26,8.67,7.14,8.58,11.35,23.14,5.9,20.8,9.98,8.57,5.22,,,,,,
Total,85.96,78.74,72.71,83.65,78.81,58.14,71.07,74.72,102.41,72.24,82.14,64.1,61.55,106.46,,,,,,
,,,,,,,,,,,,,,,,,,,,
1905 Deleted estimated on other stations,,,,,,,,,,,,,,,,,,,,
1904 Deleted roughly estimated,,,,,,,,,,,,,,,,,,,,
Sea Level Obs for Ben Nevis Observatory,,,,,,,,,,,,,,,,,,,,
