Rainfall at,BOSLEY RES
,
Station no,2771/5,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.09,4.96,3.97,2.10,
February,,,,,,,4.25,1.24,2.58,2.40,
March,,,,,,,2.50,1.29,2.42,1.63,
April,,,,,,,3.73,0.31,1.59,2.01,
May,,,,,,,2.18,2.54,1.82,1.36,
June,,,,,,,1.87,2.37,1.92,1.26,
July,,,,,,,4.48,4.48,5.33,3.34,
August,,,,,,,1.50,3.40,2.51,1.10,
September,,,,,,,1.53,2.08,1.09,2.60,
October,,,,,,3.59,1.54,4.05,1.79,3.13,
November,,,,,,3.93,1.30,3.64,5.06,8.93,
December,,,,,,3.53,2.37,4.71,2.04,4.55,
Total,,,,,,,31.34,35.07,32.12,34.41,
Calc annual,0.00,0.00,0.00,0.00,0.00,11.05,31.34,35.07,32.12,34.41,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,
