"LANCASTER BLEA TARN RESERVOIR",,,,,,,,,,,,
Grid ref,SD495583,Long,-2.772221,Lat,54.018221,,,,,,,
Station no,3048,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.35,1.88,3.42,4.19,1.91,4.18,1.49,3.85,1.93,,
February,,1.53,0.95,3.41,3.24,1.57,2.62,1.12,2.25,2.42,,
March,,2.99,2.70,3.73,2.10,2.69,3.00,2.62,3.00,2.81,,
April,,2.04,1.50,1.72,1.73,3.03,1.56,0.51,2.22,3.57,,
May,,1.03,3.12,2.92,2.00,1.44,4.76,3.22,2.89,2.00,,
June,,1.90,0.98,1.36,1.46,2.02,2.57,7.84,2.64,2.53,,
July,,1.44,4.02,4.06,1.33,1.80,2.52,3.86,3.62,6.30,,
August,,3.10,2.87,7.08,2.66,3.85,4.97,5.50,5.08,3.58,,
September,,1.22,1.29,5.99,1.97,3.11,1.33,0.82,5.19,2.85,,
October,,4.28,3.82,9.16,3.29,2.77,7.31,5.28,1.77,5.95,,
November,,3.85,2.64,3.65,2.52,4.27,3.01,3.70,3.74,1.60,,
December,,3.60,3.30,3.44,3.05,1.07,2.80,4.72,3.05,7.16,,
Total,,28.33,29.07,49.94,29.54,29.53,40.63,40.68,39.30,42.70,,
Calc annual,0.00,28.33,29.07,49.94,29.54,29.53,40.63,40.68,39.30,42.70,,
Difference,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
