ASHTEAD-BROAD-EAVES,,,,,,,,,,
Grid ref,TQ180584,Long,-0.30834383,Lat,51.312488,Elevation,180,ft.,,
Station no,RR8227,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,4.25,,,1.02,,
February,,,,,3.62,,,1.2,,
March,,,,,1.55,,,0.69,,
April,,,,,1.12,,,3.85,,
May,,,,,3.29,,,1.75,,
June,,,,,0.88,,,1.79,,
July,,,,,1.13,,,1.31,,
August,,,,,1.62,,,2.56,,
September,,,,,1.41,,,0.61,,
October,,,,,1.98,,,4.41,,
November,,,,,0.95,,,2.13,,
December,,,,,2.56,,,3.4,,
Total,,,,,24.36,,,24.72,,
,,,,,,,,,,
"NGR is Broad Eaves, Oakfield Road, where the observer Candler lived. Altitudes match",,,,,,,,,,
