TERNHILL-AIRFIELD,,,,,,,,,,
Grid ref,SJ641309,Long,-2.5348229,Lat,52.874365,Elevation,268,ft.,,
Station no,2312/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.08,3.64,4.13
February,,,,,,,,4.53,0.3,1.91
March,,,,,,,,0.86,1.62,1.48
April,,,,,,,,0.6,3.1,1.22
May,,,,,,,,1.96,1.49,1.8
June,,,,,,,,4.78,2.06,2.11
July,,,,,,,,5.19,1.59,3.04
August,,,,,,,,3.44,0.81,4.2
September,,,,,,,,4.26,0.41,4.62
October,,,,,,,,2.29,2.25,3.71
November,,,,,,,,1.95,2.83,3.88
December,,,,,,,,2.65,4.83,2.58
Total,,,,,,,,34.59,24.93,34.68
,,,,,,,,,,
NGR is from 1950s record sheet and is the airport. Altitudes match.,,,,,,,,,,
MIDAS src_id 16802 ends 1976 and is located 100m E.,,,,,,,,,,
