CARDIFF-WW-TROEDYRHIW,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO070168,Long,-3.3513349,Lat,51.84203,Elevation,860,ft.,,,,,,,,,,,,,,
Station no,RR7200,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,10.21,9.83,6.74,5.2,7.54,7.77,9.54,8.5,13.32,2.83,11.47
February,,,,,,,,,,,,4.36,0.22,8.79,15.46,0.64,12.1,6.11,5.71,8.3,1.77,0.71
March,,,,,,,,,,,,8.19,8.23,6.9,2.13,3.17,1.12,1.77,6.75,6.09,0.89,4.23
April,,,,,,,,,,,,10.04,1.21,5.32,4.43,5.84,4.8,3.45,2.48,2.03,0.77,4.48
May,,,,,,,,,,,,4.43,2.25,1.66,3.95,5.53,7.71,3.78,2.3,0.95,5.4,2.85
June,,,,,,,,,,,,5.12,0.39,2.28,1.2,3.66,0.01,2.81,5.61,6.31,4.11,2.29
July,,,,,,,,,,,,7.53,3.1,6.64,4.36,6.2,3.04,3.61,6.24,4.05,4.96,6.11
August,,,,,,,,,,,,2.54,6.21,4.48,5.11,6.66,5.94,5.89,11.62,5.4,4.45,6.88
September,,,,,,,,,,,,5.44,3.3,4.86,5.36,9.44,5.3,2.96,7.76,2.01,1.86,7.83
October,,,,,,,,,,,,5.45,2.36,1.82,12.22,7.97,8.8,5.55,6.63,12.85,8.96,9.76
November,,,,,,,,,,,,3.67,5.02,2.66,5.2,5.09,3.71,13.19,5.61,12.86,17.45,8.67
December,,,,,,,,,,,,8.96,6.64,9.27,5.4,11.49,5.35,0.5,4.04,6.72,17.9,7.06
Total,,,,,,,,,54.16,66.53,55.57,75.94,48.76,61.42,70.02,73.23,65.65,59.16,73.25,80.89,71.35,72.34
,,,,,,,,,,,,,,,,,,,,,,
NGR is Troed-y-Rhiw in the area of the Cardiff WW observations.,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is 100 ft. too high or gauge is 100m S. ,,,,,,,,,,,,,,,,,,,,,,
There is another locations at SO108171. which is 3.8km E and slightly low and probably outside the area covered by Cardiff WW.,,,,,,,,,,,,,,,,,,,,,,
There are other locations in Brecknockshire but distant from the WW area.,,,,,,,,,,,,,,,,,,,,,,
Annual Totals for 1917 to 1919 are taken from the British Rainfall Reports; the record sheet for the 1910s is missing,,,,,,,,,,,,,,,,,,,,,,
