"SHAP, TAILBERT BECK",,,,,,,,,,
Grid ref,NY535149,Long,-2.7199937,Lat,54.527236,Elevation,900,ft,,
Station no,3672,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.6,7.8,14.5,12.05,7.05,-999,,,
February,,7.7,9.95,8.55,6.45,14.45,-999,,,
March,,7.2,7.95,4,5.75,7.5,-999,,,
April,,1.45,6.65,2.55,2.15,4.15,4.9,,,
May,,7.05,4.55,3.95,6.9,5.25,6.4,,,
June,,7.4,6,5.8,0.95,2,,,,
July,,5.7,11.95,4.2,6,-999,,,,
August,,9.2,5,5.6,1,-999,,,,
September,5.68,3.65,3.85,6.5,6.4,7.1,,,,
October,1.75,3.55,4.85,9.9,3.95,7,,,,
November,15.75,12.5,8.95,9.55,5.8,5.2,,,,
December,6.25,13.1,7.7,6,12.15,5.4,,,,
Total,,79.1,85.2,81.1,69.55,72.65,,,,
,,,,,,,,,,
1885 July/Aug bracketed,,,,,,,,,,
1886 Jan-Mar bracketed 16.20,,,,,,,,,,
,,,,,,,,,,
NGR where 900' contour cross Tailbert Gill,,,,,,,,,,
