"GLENOGIL (WATERWORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5605,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.30,3.50,3.66,2.62,-999.00,5.22,7.73,5.94,4.37,2.47,,
February,2.33,0.32,4.72,0.19,2.69,4.25,4.94,1.98,4.25,2.90,,
March,1.46,3.93,3.05,3.18,2.27,3.28,4.69,0.68,3.14,2.96,,
April,2.69,3.52,2.00,4.19,5.08,0.87,2.09,0.20,0.91,2.17,,
May,4.96,4.59,1.50,3.17,1.32,1.19,2.35,4.67,1.35,1.40,,
June,4.47,0.94,1.41,1.00,3.94,1.68,2.17,3.95,1.84,0.11,,
July,4.12,5.08,4.19,4.57,2.13,4.09,6.50,7.17,4.73,6.41,,
August,3.34,1.27,1.27,4.49,2.00,1.93,3.89,2.62,2.85,0.69,,
September,1.09,1.59,2.42,4.86,5.51,4.55,1.20,4.15,2.18,2.42,,
October,1.12,7.28,4.74,4.95,7.17,1.93,2.62,4.86,7.41,5.89,,
November,8.16,2.26,5.10,0.94,6.08,2.59,0.56,5.59,6.66,7.05,,
December,2.07,5.38,1.94,9.34,3.49,3.02,3.90,3.70,2.32,2.46,,
Total,40.11,39.66,36.00,43.50,43.27,34.60,42.64,45.51,42.01,36.93,,
Calc annual,40.11,39.66,36.00,43.50,41.68,34.60,42.64,45.51,42.01,36.93,,
Difference,0.00,-0.00,0.00,0.00,1.59,0.00,-0.00,-0.00,0.00,0.00,,
