BARNET-JESUS-HOSPITAL (PROSPECT ROAD/GAS & WATER CO),,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ254961,Long,-0.18885188,Lat,51.649718,Elevation,335,ft,,,,,,,,,,,,,
Station no,903/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,1.48,,,,,,,,,
February,,,,,,,,,,,,2,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,0.81,,,,,,,,,,
July,,,,,,,,,,,1.81,,,,,,,,,,
August,,,,,,,,,,,3.26,,,,,,,,,,
September,,,,,,,,,,,3.18,,,,,,,,,,
October,,,,,,,,,,,1.1,,,,,,,,,,
November,,,,,,,,,,,4.04,,,,,,,,,,
December,,,,,,,,,,,2.21,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Gauge moved to Almshouses,,,,,,,,,,,,,,,,,,,,,
