LLANWRDA-BRYNGLAS,,,,,,,,,,,
Grid ref,SN661403,Long,-3.9538574,Lat,52.044875,Elevation,450,ft.,,,
Station no,,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.77,9.83
February,,,,,,,,,,1.73,0.55
March,,,,,,,,,,1.28,3.84
April,,,,,,,,,,1.47,3.39
May,,,,,,,,,,4.3,2.45
June,,,,,,,,,,3.31,2.84
July,,,,,,,,,,4.16,6
August,,,,,,,,,,4.46,5.37
September,,,,,,,,,,1.53,7.2
October,,,,,,,,,,9.01,9.53
November,,,,,,,,,11.04,15.68,7.21
December,,,,,,,,,5.57,14.38,7.46
Total,,,,,,,,,,63.08,65.67
,,,,,,,,,,,
NOTES,,,,,,,,,,,
"NGR is Brynglas, gauge moved here in Oct 1928 from Dolaucothy, move of about 550m SSW. Altitude is from OS map. It does not look as if the gauge continued beyond 1930.",,,,,,,,,,,
