PANT-MARTEG-GAMALLT,,,,,,,,,,
Grid ref,SN947710,Long,-3.5465621,Lat,52.326957,Elevation,785,ft.,,
Station no,4244/0/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.31,4.25,7.37,4.73,6.24,7.12,8.84
February,,,,4.78,2.35,,5.77,7.92,0.81,6.14
March,,,,4.85,4.16,3.88,4.61,1.59,3.81,3.61
April,,,,1.22,2.6,2.32,0.17,1.38,,4.13
May,,,,3.03,6.7,0.77,3.12,3.71,2.96,2.23
June,,,,5.26,6.66,2.6,1.75,4.19,,2.59
July,,,,4.46,0.7,4.71,5.46,6.1,,6.13
August,,,,5.63,1.35,6.11,7.47,4.36,0.72,4.06
September,,,,6.52,2.62,5.58,10.76,7.87,0.22,5.46
October,,,,8.05,4.14,3.59,5.21,4.92,7.99,6.43
November,,,,11.35,4.56,3.91,3.53,3.09,6.33,10.6
December,,,,7.71,5.84,6.55,5.46,5.12,,9.78
Total,,,,67.17,45.93,,58.04,56.49,,70
,,,,,,,,,,
NGR is near Gamallt. Altitudes match. Gamallt is 100m N.,,,,,,,,,,
"Gauge moved here from Glyn Cwy in 1954, about 1.3km.",,,,,,,,,,
