PANT-MARTEG-GLYN-CWY,,,,,,,,,,
Grid ref,SN945723,Long,-3.5499041,Lat,52.338601,Elevation,822,ft.,,
Station no,4244/0/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,7.42,1.78,,,,,,,
February,,2.36,2.6,,,,,,,
March,,2.02,5.14,,,,,,,
April,,2.91,3.4,,,,,,,
May,,3.04,,,,,,,,
June,0.89,3.21,,,,,,,,
July,2.19,2.08,,,,,,,,
August,5.13,4.96,,,,,,,,
September,4.36,4.42,,,,,,,,
October,1.37,5.82,,,,,,,,
November,11.89,3.96,,,,,,,,
December,8.07,5.94,,,,,,,,
Total,,48.14,,,,,,,,
,,,,,,,,,,
NGR is Glyn Cwy. Altitudes match.,,,,,,,,,,
Same station number as GAMALLT used because MIDAS has the record starting in 1951,,,,,,,,,,
