"THAMES DITTON, GIGG'S HILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8233,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,1.00,1.92,2.26,1.66,3.71,1.74,0.80,,,
February,,,1.25,3.52,1.31,2.57,0.56,0.52,1.14,,,
March,,,0.78,0.90,1.21,1.37,1.19,1.76,2.63,,,
April,,,2.20,1.41,1.31,1.27,1.38,1.67,1.54,,,
May,,,0.98,1.91,0.58,2.86,3.91,1.79,0.93,,,
June,,,2.96,1.26,1.58,1.48,0.99,1.09,3.01,,,
July,,,1.65,2.60,1.85,0.43,2.20,1.20,5.26,,,
August,,,1.22,0.64,1.08,1.75,0.73,2.54,2.29,,,
September,,,2.51,2.65,1.85,4.52,1.63,1.88,1.28,,,
October,,,5.50,1.88,1.28,3.25,2.41,1.41,1.41,,,
November,,,2.30,2.81,1.28,2.80,2.69,3.64,3.76,,,
December,,,2.17,0.59,2.18,1.17,3.15,1.52,0.82,,,
Total,,,24.52,22.09,17.77,25.13,24.55,20.76,24.87,,,
Calc annual,0.00,0.00,24.52,22.09,17.77,25.13,24.55,20.76,24.87,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
