TALYBONT-RHYD-BINE,,,,,,,,,,
Grid ref,SO091195,Long,-3.3215725,Lat,51.866645,Elevation,1224,ft.,,
Station no,4183/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.24,4.01,5.77,10.5,14.05,8.16,9.56,9.25
February,,,2.75,7.16,2.58,0.63,10.28,11.48,0.72,10.73
March,,,7.52,6.03,4,3.21,7.93,1.59,7.48,3.65
April,,,5.74,1.32,3.12,1.52,0.3,1.5,6.41,7.73
May,,,4.29,4.16,6.75,1.71,4.07,6,2.13,2.13
June,,,1.94,6.87,7.07,3.64,1.02,3.3,2.45,3.73
July,,0.46,6.61,4.73,0.93,7.53,5.11,4.2,5.2,7.75
August,,9.73,5.35,7.27,1.85,5.95,4.32,5.25,2.97,5.15
September,,4.32,6.79,8.89,3.14,8.14,10.18,11.25,0.23,6.19
October,,8.5,4.72,14.24,4.07,3.53,8.48,7.4,6.69,10.55
November,,4.14,8.15,17.39,6.5,2.16,3.62,2.8,10.92,20.45
December,,6.92,2.38,8.4,12.1,9.8,7.82,6.54,21.98,14.6
Total,,,58.48,90.47,57.88,58.32,77.18,69.47,76.74,101.91
,,,,,,,,,,
NGR is from the 1950s record and is up the hill from Rhyd Bine. Altitudes match. Noted as being the check/continuity gauge for Pwll Ifor. MIDAS has station continuing to 1977.,,,,,,,,,,
