BARNSLEY BECKETT SQUARE + JORDAN HILL,,,,,,,,,,
Grid ref,SE336070,Long,-1.494246,Lat,53.558552,Elevation,306,ft,,
Station no,3171,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.97,1.7,0.86,2.19,,,,,,
February,4.37,1.4,1.42,1.41,,,,,,
March,0.81,2.26,0.76,2.98,,,,,,
April,0.77,1.26,2.39,1.51,,,,,,
May,1.07,1.09,2.45,,,,,,,
June,3.07,0.87,1.8,,,,,,,
July,2.78,4.41,1.72,,,,,,,
August,5.52,0.98,3.34,,,,,,,
September,0.18,0.99,1.27,,,,,,,
October,3.06,1.42,2.59,,,,,,,
November,2.04,3.21,1.75,,,,,,,
December,2.99,4.98,2.05,,,,,,,
Total,29.63,24.57,22.4,,,,,,,
,,,,,,,,,,
Gauge moved to Jordan Hill April 1903,,,,,,,,,,
TYRain_1900-1909_20_pt1-page-103.csv split across two sites/csv,,,,,,,,,,
