TIDESWELL-WHESTON,,,,,,,,,,
Grid ref,SK129768,Long,-1.8079552,Lat,53.288013,Elevation,1140,ft.,,
Station no,2681/1/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.55,4.98,1.92,4.15,,7.75,3.7,4.65,4.95,
February,5.53,1.72,2.53,3.8,3.05,2.35,3.25,,0.7,
March,6.34,2.29,2.41,3.9,,2.3,3.6,3.05,2.6,2.3
April,2.3,3.9,2.95,0.9,2.35,2.35,0.5,1.6,3,2.95
May,2.7,3.3,2.75,3.25,5.1,-999,2.4,4.2,1.85,2.2
June,1.31,2.9,3.55,2.75,1.35,-999,1.7,,1.75,2.1
July,2,2.7,4.1,4.45,0.7,5.85,4.7,7.2,2.7,5.85
August,,2.1,3.9,6.25,0.7,9.2,7.25,3.2,0.85,4.5
September,2.94,3.9,2.7,5,1.6,4.3,8.4,5.85,0.18,4.6
October,1.14,5.72,2,6.35,3.6,2.8,3.75,4.4,1.85,7.1
November,10,,2.6,7.4,2.9,2,,1.8,5.9,6.35
December,5.75,3.26,1.9,8.15,5.15,5.4,5.6,4.95,7.65,4.9
Total,,,33.31,56.35,,48.6,,,,
,,,,,,,,,,
NGR is from 1950s record and is near Wheston. ,,,,,,,,,,
Stated altitude is 40 ft too high or gauge is 200m E; which is where the Long/lat on the record places the gauge,,,,,,,,,,
