"DYSERTH (PENLEE)",,,,,,,,,,,,
Grid ref,SJ058783,Long,-3.414712,Lat,53.293257,,,,,,,
Station no,4282/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.95,2.31,0.60,1.61,1.84,2.42,1.26,2.51,3.93,4.88,,
February,2.59,0.79,1.67,2.30,2.46,0.48,2.14,5.04,0.23,1.78,,
March,4.98,0.99,1.07,1.76,1.72,1.35,1.29,1.36,1.21,1.75,,
April,0.91,1.27,2.52,0.82,0.97,1.82,0.47,0.75,3.95,1.27,,
May,3.61,1.77,1.72,2.85,2.39,0.61,1.52,2.63,1.47,1.48,,
June,1.19,1.42,1.98,3.93,2.44,1.83,1.52,3.34,1.84,0.79,,
July,1.55,0.95,1.72,3.51,0.34,4.40,5.19,2.96,2.61,2.76,,
August,3.45,1.39,2.86,2.97,1.56,8.74,4.97,3.59,0.86,4.46,,
September,1.79,3.51,2.99,2.03,1.28,2.64,5.68,5.00,0.50,5.05,,
October,0.95,4.06,1.30,4.37,2.06,1.55,1.60,2.47,2.83,2.48,,
November,6.61,2.09,2.73,5.32,1.31,1.27,1.55,1.75,3.51,5.27,,
December,2.84,3.44,1.24,2.88,2.38,1.96,2.03,2.48,3.49,3.24,,
Total,32.42,23.99,22.40,34.35,20.75,29.07,29.22,33.88,26.43,35.21,,
Calc annual,32.42,23.99,22.40,34.35,20.75,29.07,29.22,33.88,26.43,35.21,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
