DYSERTH-PENLEE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ058783,Long,-3.414712,Lat,53.293257,Elevation,260,ft.,,,,,,,,,,,,
Station no,4282/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.32,3.57,3.91,3.25,1.99,3.01,2.23,4.94,2.59,0.62,1.95,2.31,0.6,1.61,1.84,2.42,1.26,2.51,3.93,4.88
February,2.19,1.37,1.83,1.1,1.76,3.42,1.58,1.18,0.88,3.79,2.59,0.79,1.67,2.3,2.46,0.48,2.14,5.04,0.23,1.78
March,3.11,1.97,0.96,0.83,0.58,1.18,4.46,0.77,1.46,1.15,4.98,0.99,1.07,1.76,1.72,1.35,1.29,1.36,1.21,1.75
April,1.71,0.96,1.11,1.28,1.24,0.94,2.09,1.2,2.06,2.22,0.91,1.27,2.52,0.82,0.97,1.82,0.47,0.75,3.95,1.27
May,1.87,2.82,2.32,0.85,3.71,3.45,2.87,0.85,1.57,0.87,3.61,1.77,1.72,2.85,2.39,0.61,1.52,2.63,1.47,1.48
June,0.59,0.44,2.29,1.77,2.15,3.27,2.79,2.83,0.74,1.64,1.19,1.42,1.98,3.93,2.44,1.83,1.52,3.34,1.84,0.79
July,1.43,2.53,2.03,3.2,1.79,2.11,4.17,1.71,2.34,1.73,1.55,0.95,1.72,3.51,0.34,4.4,5.19,2.96,2.61,2.76
August,3.22,3.32,2.84,1.84,0.61,3.58,0.45,3.09,1.74,3.45,3.45,1.39,2.86,2.97,1.56,8.74,4.97,3.59,0.86,4.46
September,0.44,2.17,4.39,4.52,1.17,2.39,2.2,1.8,0.69,3.74,1.79,3.51,2.99,2.03,1.28,2.64,5.68,5,0.5,5.05
October,2.96,3.16,4.64,4.27,4.71,0.86,0.59,1.75,3.34,2.31,0.95,4.06,1.3,4.37,2.06,1.55,1.6,2.47,2.83,2.48
November,1.86,0.66,2.5,6.25,0.29,3.27,2.83,1.62,3.2,3.69,6.61,2.09,2.73,5.32,1.31,1.27,1.55,1.75,3.51,5.27
December,0.86,3.08,1.16,1.59,1.69,2.95,1.76,3.02,3.39,2.55,2.84,3.44,1.24,2.88,2.38,1.96,2.03,2.48,3.49,3.24
Total,22.56,26.05,29.98,30.75,21.69,30.43,28.02,24.76,24,27.76,32.42,23.99,22.4,34.35,20.75,29.07,29.22,33.88,26.43,35.21
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Penlee. Altitudes match.,,,,,,,,,,,,,,,,,,,,
