INCHKEITH LIGHTHOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5504,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.56,1.75,0.54,,,,,,,0.33,,
February,1.13,0.08,0.54,,,,,,,0.56,,
March,1.23,2.33,0.38,,,,,,,2.83,,
April,2.21,1.04,0.94,,,,,,,1.47,,
May,2.46,2.22,1.37,,,,,,,2.10,,
June,4.05,0.34,1.44,,,,,,,0.94,,
July,3.64,1.53,2.74,,,,,,,4.42,,
August,2.42,0.36,0.60,,,,,,,0.23,,
September,1.80,1.71,0.89,,,,,,,1.65,,
October,1.20,3.34,1.90,,,,,,,2.34,,
November,3.62,0.76,1.06,,,,,,,2.10,,
December,0.28,1.25,0.65,,,,,,,0.80,,
Total,25.60,16.71,13.05,,,,,,,19.77,,
Calc annual,25.60,16.71,13.05,0.00,0.00,0.00,0.00,0.00,0.00,19.77,,
Difference,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
