NEWPORT W. W. YNYS-Y-FRO FARM,,,,,,,,,,
Grid ref,ST285892,Long,-3.033643,Lat,51.597087,Elevation,140,ft.,,
Station no,RR3195,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.24,3.01,4.31,5.08,5.55,5.04,5.57,5.76
February,,,1.78,5.38,2.2,0.26,5.85,6.51,0.42,4.17
March,,,1.7,4.48,2.08,1.07,5.47,1.49,3.98,2.96
April,,,4.49,0.59,1.77,2.93,0.13,0.91,3.53,2.75
May,,,3.63,2.65,6.09,1.22,2.3,4.4,2.16,1.62
June,,,2.38,6.05,4.82,2.66,1.28,3.6,1.94,2.59
July,,3.1,5.21,2.92,0.24,3.58,4.59,4.07,4.39,4.76
August,,6.41,5.8,5.34,0.8,6.2,3.98,4.55,2.21,5.11
September,,3.83,5.64,5.32,1.88,6.1,5.79,8.74,0.18,6.07
October,,5.8,4.07,6.86,2,2.53,5.11,3.77,4.37,9.55
November,,4.71,3.45,9.32,4.83,1.31,2.62,2.33,5.04,9.87
December,,3.6,1.56,4.19,7.38,5.97,3.38,4.96,10.37,6.36
Total,,,40.95,56.11,38.4,38.91,46.05,50.37,44.16,61.57
,,,,,,,,,,
NGR is from 1950s record and is south of the farm as described on the record. Altitudes match.,,,,,,,,,,
