DRINKSTONE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL950618,Long,0.8532699,Lat,52.219883,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.4,2.71,3.22,2.05,1.93,1.15,0.99,3.12,2.39,0.92,2.13,1.66,2.82,1.63,1.79,0.31,0.9,1.49,1.79,1.57,2.03,2.23,1.51,0.78,0.73,1.93,1.89,1.08,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.21,3.43,1.51,1.04,2.7,0.87,2.32,0.89,1.88,0.73,1.19,2.76,2.25,1.15,3.38,1.67,2.43,0.91,2.37,0.97,2.6,0.3,0.42,1.47,1.72,1.01,0.01,2.42,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.34,1.41,1.95,1.65,2.04,2.1,1.29,2.12,1.96,0.75,0.46,2.3,2.43,0.78,1.1,0.66,1.49,2.04,1.64,0.99,0.9,1.62,1.29,2.98,1.25,2.6,1.52,2,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.36,1.94,2.95,1.46,1.29,0.68,3.64,2.05,1.24,0.98,1.04,2.02,2.24,1.57,3.02,2.22,1.18,2.93,0.91,0.79,1,1.49,1.68,1.05,2.67,0.69,0.79,1.6,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.68,1.31,2.85,0.73,2.59,0.65,1.19,2.28,1.63,0.72,2.41,1.04,1.76,4.74,2.47,0.47,0.97,1.49,1.35,0.6,3.31,2.44,1.43,0.73,3.31,1.61,2.21,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.14,3.5,0.61,1.14,1.65,0.73,2.98,2.4,2.92,1.79,2.91,2.11,0.69,0.95,3.74,3.61,1.08,3.06,2.53,0.83,1.03,0.92,0.3,1.09,1.68,1.55,0.79,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.09,3.1,5.64,0.19,0.74,1.68,3.4,5.52,2.11,1.19,6.42,0.96,3.36,0.42,5.44,4.35,1.51,2.85,3.49,1.75,0.71,3.06,0.72,4.2,2.04,3.91,3.18,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.55,2.56,1.57,1.71,2.26,1.87,0.71,2.23,1.15,1.46,0.25,1.72,3.04,2.63,3.66,1.24,4.86,1.88,1.12,0.96,0.8,1.42,1.5,2.69,3.37,2.22,3.33,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0,3.93,2.76,1.34,3.21,1.58,4.23,2.27,3.52,3.18,2.84,5.36,1.88,1,3.47,4.29,2.92,2.78,3.54,2.84,5.36,1.24,1.98,2.63,2.28,0.79,1.33,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.42,0.45,2.39,2.63,2.91,3.11,1.33,3.66,2.51,2.18,3.65,1.41,1.42,2.26,1.35,4.15,2.28,5.15,3.17,2.31,4.17,3.02,2.58,1.22,4.95,1.55,3.51,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,1.38,2.57,0.51,1.14,2.38,0.95,0.98,3.88,1.92,2.3,4.99,2.68,3.07,5.53,1.09,2.29,1.93,2.79,2.52,1.03,3.38,2.69,2.24,3,1.89,3.15,1.64,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,0.94,2.27,3.06,4.32,4.18,3.69,1.71,3.67,0.65,2.14,1.41,3.86,1.97,1.5,0.57,2.5,3.36,2.91,2.25,2.49,1.16,3.18,1.16,1.5,1.22,0.55,2.92,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,26.51,29.18,29.02,19.4,27.88,19.06,24.77,34.09,23.88,18.34,29.7,27.88,26.93,24.16,31.08,27.76,24.91,30.28,26.68,17.13,26.45,23.61,16.81,23.34,27.11,21.56,23.12,28.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
