"RIVELIN (OAKING CLOUGH)",,,,,,,,,,,,
Grid ref,SK248864,Long,-1.628705,Lat,53.373882,,,,,,,
Station no,3114,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.27,4.45,1.57,,,,,,,,,
February,3.87,1.30,2.50,,,,,,,,,
March,5.90,2.28,2.52,,,,,,,,,
April,2.10,2.72,3.44,,,,,,,,,
May,4.44,2.94,2.58,,,,,,,,,
June,1.34,2.18,3.47,,,,,,,,,
July,1.50,1.84,4.09,,,,,,,,,
August,4.99,2.57,3.83,,,,,,,,,
September,2.23,4.77,2.54,,,,,,,,,
October,1.47,7.54,2.47,,,,,,,,,
November,10.60,3.08,2.77,,,,,,,,,
December,5.18,3.58,2.14,,,,,,,,,
Total,47.89,39.25,33.92,,,,,,,,,
Calc annual,47.89,39.25,33.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
