RIVELIN (OAKING CLOUGH) NEW GAUGE,,,,,,,,,,
Grid ref,SK247864,Long,-1.630209,Lat,53.373886,Elevation,1171,ft,,
Station no,3114,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.09,3.07,6.7,2.68,4.37,3.77,6.33
February,,,,2.91,3.05,1.69,3.43,5.95,0.34,3.25
March,,,,2.78,4.11,1.9,3.48,4.02,2.15,2.88
April,,,,0.71,1.13,2.67,0.28,1.12,4.77,2.32
May,,,,4.05,4.04,0.84,1.63,3.86,1.38,2.2
June,,,,2.88,3.62,4.74,1.92,5.34,1.53,1.54
July,,,,3.48,1.73,7.75,3.66,6.67,2.6,5.63
August,,,,7.81,1.04,6.94,7.35,3.33,1.05,5.01
September,,,,4.5,1.88,5.1,6.24,4.09,0.13,4.77
October,,,2.41,5.35,3.15,2.48,2.98,3.34,3.25,9.01
November,,,2.65,7.1,2.82,1.86,3.47,1.15,5.02,5.65
December,,,2.01,6.48,5.43,4.97,4.6,5.47,6.17,4.6
Total,,,,52.14,35.07,47.64,41.72,48.71,32.16,53.19
