EXETER-THE-QUARRIES,,,,,,,,,,
Grid ref,SX899917,Long,-3.56025,Lat,50.71492,Elevation,250,ft,,
Station no,RR8744,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.09,4.54,7.27,0.66,7.34,1.69,6.58
February,,,,2.78,5.49,2.53,3.32,1.55,2.37,6.31
March,,,,5.38,0.43,1.44,4.3,2.78,1.33,0.56
April,,,,1.35,1.43,1.82,3.8,9.2,4.09,4.07
May,,,,2.15,0.98,2.37,0.96,2.43,4.61,2.73
June,,,,1.58,2.42,2.16,1.03,1.66,3.3,5.45
July,,,,2.1,1.17,4.23,0.42,3.38,2.62,5
August,,,,5.47,2.64,2.23,3.34,4.14,3.56,5.04
September,,,,3.45,5.04,4.61,6.36,2.12,2.03,3.01
October,,,,1.7,6.75,9.21,6.27,2.15,4.63,1.38
November,,,,5.99,4.38,6.92,5.51,7.95,4.21,0.13
December,,,,0.81,3.99,0.72,12.49,2.04,3.54,1.17
Total,,,43.27,38.85,39.26,45.51,48.46,46.74,37.98,41.43
,,,,,,,,,,
The Quarries Barley Lane St Thomas Exeter,,,,,,,,,,
Gauge unsheltered in an exposed position,,,,,,,,,,
