TILLICOULTRY,,,,,,,,,,
Grid ref,NS 908 972,Long,-3.758835,Lat,56.154823,Elevation,50,ft,,
Station no,5460,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.99,6.39,2.97,5.22,2.36,2.78,
February,,,,2.41,2.69,3.95,1.29,2.34,0.57,
March,,,,1.44,3.33,3.1,3.9,1.71,3.65,
April,,,3.12,1.73,1.28,1.93,1.61,2.4,1.9,
May,,,1.94,1.99,4.07,3.94,5.24,1.42,3.63,
June,,,4.96,3.11,0.67,1.62,1.65,0.77,3.06,
July,,,4.81,6.19,5.74,1.67,3.44,2.69,6.13,
August,,,2.19,6.84,2.44,2.76,1.91,4.08,1.83,
September,,,3.56,2.66,2.24,6.07,5.61,2.85,1.09,
October,,,4.75,3.6,3.76,2.22,5.58,1.35,2,
November,,,5.68,5.51,2.56,1.8,3.21,3.72,5.15,
December,,,5.33,3.1,6.2,2.41,4.14,2.39,2.31,
Total,,,,43.57,41.37,34.44,42.8,28.08,34.1,
,,,,,,,,,,
Approx Location based on pumping stn,,,,,,,,,,
Figures in British Rainfall,,,,,,,,,,
,,,,,,,,,,
