EAST-BUDLEIGH-OAKHILL,,,,,,,,
Grid ref,SY069846,Long,-3.31766,Lat,50.65375,Elevation,100,ft
Station no,RR8867,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,,,
January,,,1.02,3.13,3.86,,,
February,,,1.76,1.7,6.22,,,
March,,,2.07,3.33,1.55,,,
April,,,1.36,2.36,1.01,,,
May,,,1.66,3.55,2.84,,,
June,,,2.65,2.02,0.9,,,
July,,,2.16,3.11,4.5,,,
August,,,2.79,3.11,2.54,,,
September,,,2.67,3.73,1.49,,,
October,,,2.62,6.18,2.06,,,
November,,,4.2,1.46,1.49,,,
December,,,1.88,3.45,2.57,,,
Total,,,26.84,37.13,31.03,,,
,,,,,,,,
Note says Probably moved to Westhill Lodge during 1905,,,,,,,,
Observer seems to have moved around the end of 1904 or early 1905,,,,,,,,
