EAST-BUDLEIGH-OAKHILL-(WESTHILL-LODGE),,,,,,,,
Grid ref,SY056819,Long,-3.33586,Lat,50.62951,Elevation,150,ft
Station no,RR8867,,,,,,,
,,,,,,,,
,1905,1906,1907,1908,1909,,,
January,1.19,5.27,0.94,0.87,,,,
February,0.85,3.41,1.34,1.53,,,,
March,4.06,0.95,0.55,2.96,,,,
April,2.53,1.25,3.76,2.54,,,,
May,0.65,2.46,2.61,1.61,,,,
June,2.77,1.6,2.35,0.46,,,,
July,0.41,0.94,1.79,1.59,,,,
August,3.53,1.2,0.85,3.6,,,,
September,2.04,0.99,0.47,2.24,,,,
October,2.06,4.18,6.13,2.86,,,,
November,5.18,2.09,2.72,1.04,,,,
December,0.68,1.26,4.64,3.25,,,,
Total,25.95,25.6,28.15,24.55,,,,
,,,,,,,,
Note says Probably moved to Westhill Lodge during 1905,,,,,,,,
Observer seems to have moved around the end of 1904 or early 1905,,,,,,,,
Westhill Lodge 1.8 miles SW of Oakhill,,,,,,,,
