"LEYLAND WARDEN HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,0.89,3.02,3.86,2.20,5.06,2.17,2.42,2.75,4.30,,
February,3.19,3.21,1.69,1.24,2.27,4.07,3.21,1.15,3.79,1.14,,
March,0.67,1.25,5.66,3.95,3.95,1.56,1.80,2.26,1.25,5.63,,
April,2.27,3.06,0.49,4.25,1.16,2.03,3.26,1.57,1.02,1.84,,
May,2.76,1.06,2.00,3.31,1.57,1.32,2.18,2.22,2.56,1.38,,
June,2.35,2.96,5.19,2.58,1.29,2.41,2.93,2.17,2.19,2.04,,
July,5.43,0.54,5.44,2.55,5.03,3.81,4.09,1.04,4.39,1.26,,
August,5.42,2.96,5.38,2.91,2.50,4.60,4.53,5.68,3.75,3.40,,
September,0.35,4.90,1.68,1.88,3.45,0.58,2.70,2.08,9.85,2.21,,
October,3.13,2.49,3.80,1.83,2.07,1.10,6.87,7.17,3.57,3.02,,
November,5.15,3.47,2.87,4.19,4.32,2.28,2.39,3.80,2.48,2.23,,
December,3.25,5.90,3.12,2.52,5.60,5.67,2.72,2.18,7.07,5.30,,
Total,,32.69,40.34,35.07,35.41,34.49,38.85,33.74,44.67,33.75,,
Calc annual,33.97,32.69,40.34,35.07,35.41,34.49,38.85,33.74,44.67,33.75,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
