"HERTFORD BAYFORDBURY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.00,1.30,3.84,2.89,0.78,3.57,1.53,1.37,2.68,3.45,,
February,3.35,1.45,1.85,0.76,2.53,3.52,3.54,0.68,0.88,2.95,,
March,0.86,1.93,3.00,2.21,3.91,1.05,4.47,1.64,0.62,3.00,,
April,1.56,1.33,0.17,2.93,0.80,0.98,1.13,2.07,3.69,3.79,,
May,2.68,2.11,1.09,1.60,1.46,2.45,1.94,2.11,2.56,0.29,,
June,3.93,2.97,2.77,0.72,1.60,1.27,1.96,1.24,0.95,1.34,,
July,2.09,1.35,1.38,2.23,1.49,4.23,1.21,2.84,3.00,1.81,,
August,2.46,0.85,6.92,1.17,1.20,3.17,3.61,4.76,0.93,2.42,,
September,0.59,1.54,2.92,1.07,1.22,1.80,1.18,1.69,4.67,1.43,,
October,2.28,3.46,2.58,3.47,1.55,1.73,3.20,3.59,1.30,0.49,,
November,3.74,3.07,2.20,2.20,2.54,2.36,4.43,1.48,2.32,2.20,,
December,4.13,5.10,2.53,0.73,6.69,4.73,3.28,0.78,2.47,3.72,,
Total,29.67,26.46,31.25,21.98,25.77,30.86,31.48,24.25,26.07,26.89,,
Calc annual,29.67,26.46,31.25,21.98,25.77,30.86,31.48,24.25,26.07,26.89,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
