"WEARDALE WATER WORKS WASKERLEY 4",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.41,4.21,2.15,0.93,2.05,2.04,1.95,,,,,
February,2.16,0.30,1.80,3.93,0.46,4.32,3.08,,,,,
March,2.76,1.31,0.92,1.88,1.17,2.60,1.03,,,,,
April,3.69,1.17,2.62,1.70,1.21,3.15,1.90,,,,,
May,3.89,1.48,1.02,2.18,5.67,4.87,1.47,,,,,
June,0.97,0.29,0.79,0.87,2.03,0.45,5.28,,,,,
July,4.23,0.96,4.85,2.42,4.01,1.83,3.77,,,,,
August,1.76,6.80,3.08,5.37,2.11,3.40,2.80,,,,,
September,1.33,1.05,4.18,3.25,4.71,3.55,4.03,,,,,
October,2.57,1.81,2.77,3.06,3.38,3.44,2.83,,,,,
November,2.22,2.04,0.71,3.52,2.22,2.13,5.40,,,,,
December,3.39,3.27,4.30,1.38,4.42,2.88,0.79,,,,,
Total,31.38,24.69,29.19,30.49,33.44,34.66,34.33,,,,,
Calc annual,31.38,24.69,29.19,30.49,33.44,34.66,34.33,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,
