"EALING ST STEPHENS ROAD OAKHURST",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,846,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.50,2.53,2.61,1.33,2.54,1.67,2.85,1.65,3.54,1.03,2.44,
February,0.41,0.17,2.30,3.07,0.53,2.97,2.43,2.99,1.61,0.43,0.59,
March,1.22,1.21,1.58,2.19,0.76,0.52,0.17,2.42,1.33,0.02,1.20,
April,2.93,1.01,2.97,1.73,3.09,1.73,3.04,1.78,1.31,1.05,1.67,
May,2.92,1.15,0.70,1.85,3.09,2.36,1.83,1.19,2.05,1.42,2.58,
June,2.04,0.22,1.02,0.24,2.16,0.04,2.75,3.01,2.61,1.12,2.53,
July,4.62,0.25,2.97,3.44,3.84,3.88,1.93,3.05,2.13,3.07,1.93,
August,1.78,1.88,2.69,1.76,2.35,2.48,1.69,5.04,2.44,1.70,2.87,
September,2.38,2.54,2.04,1.39,2.72,2.54,1.51,4.73,1.01,0.32,2.72,
October,2.17,0.73,0.86,5.30,3.68,3.02,2.13,1.57,3.98,2.72,1.02,
November,1.27,1.80,1.44,1.56,2.48,1.69,4.95,2.85,2.03,5.02,4.02,
December,2.38,1.24,2.71,2.40,3.37,2.53,0.29,3.81,2.43,4.80,2.04,
Total,26.62,14.73,23.89,26.26,30.61,25.43,25.57,34.09,26.47,22.70,25.61,
Calc annual,26.62,14.73,23.89,26.26,30.61,25.43,25.57,34.09,26.47,22.70,25.61,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
