"ST MELLION, ELLBRIDGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1943/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,3.03,7.75,
February,,,,,,,,,,2.15,2.40,
March,,,,,,,,,,0.51,3.10,
April,,,,,,,,,,0.91,2.95,
May,,,,,,,,,,3.85,4.00,
June,,,,,,,,,,3.23,1.13,
July,,,,,,,,,1.33,1.70,2.81,
August,,,,,,,,,2.21,3.27,5.68,
September,,,,,,,,,1.99,0.44,6.47,
October,,,,,,,,,7.67,7.33,4.63,
November,,,,,,,,,5.00,13.73,7.13,
December,,,,,,,,,4.76,8.89,5.12,
Total,,,,,,,,,,49.04,53.17,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.96,49.04,53.17,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,
