HUNGERFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU334686,Long,-1.5211105,Lat,51.415439,Elevation,320,ft.,,,,,,,,,,,,
Station no,RR1373,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,2.22,2.3,4.07,2.42,1.83,2.48,1.66,2.2,3.33,1.3,0.59,1.26
February,,,,,,,,,1.09,3,2.2,2.36,2.59,2.2,3.04,0.49,0.97,0.87,3.68,1.6
March,,,,,,,,,1.57,2.25,0.01,2.34,2.89,0.98,2.12,0.69,2.3,1.08,2.23,0.69
April,,,,,,,,,1.69,1.3,0.02,2.08,0.3,3.41,0.32,0.91,2.49,0.87,3.28,3.07
May,,,,,,,,,0.94,1.97,2.05,1.94,1.84,5.05,0,1.7,1.87,1.96,0.75,3.1
June,,,,,,,,,2.96,2.17,1.2,1.46,3.24,3.29,0.86,3.18,0.84,1.02,4.23,1
July,,,,,,,,,3.65,2.05,1.32,2.02,1.81,1.98,1.55,2.32,3,1.23,2.97,1.88
August,,,,,,,,,2.44,2.41,1.78,2.23,2.28,3.86,2.28,3.23,2.58,0.92,3.28,1.03
September,,,,,,,,,1.21,2.75,2.42,6.53,2.22,1.55,1.21,3.21,1.97,1.43,3.03,4.3
October,,,,,,,,,2.25,3,0.55,3.9,0.7,3.76,4.65,1.64,5.46,3.41,5.39,1.9
November,,,,,,,,,4.18,4.2,5.1,3.77,6.22,2.3,3.1,1.99,1.67,1.72,0.88,0.91
December,,,,,,,,,2.07,2.98,0.73,2.84,1.6,0.43,0.25,2.42,0.62,3.47,3.74,1.97
Total,,,,,,,,,26.27,30.38,21.45,33.89,27.52,31.29,21.04,23.98,27.1,19.28,34.05,22.71
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
THIS RECORD IS VIRTUALLY IDENTICAL TO AYLESBURY NEW ROAD WHICH IS >50 MILES AWAY. ,,,,,,,,,,,,,,,,,,,,
"NGR is the vicarage in Hungerford; the observer is noted as Rev T E Blackwell on the 1830s record. The observer on the 1840s record is Thos E Blackwell. There is a canal engineer called Thomas E Blackwell who lived at The Croft in Hungerford, which is close to the vicarage but he would have been about 20 when observations started. NGR +/- 200 to 300m. Altitudes match",,,,,,,,,,,,,,,,,,,,
