GAINFORD - observer Atkinson second gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ171169,Long,-1.737171,Lat,54.547069,Elevation,252,ft,,,,,,,,,,,,
Station no,3509,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.31,4.31,2.07,0.89,0.41,,,,,,,,,
February,,,,,,,1.96,1.52,1.29,3.69,,,,,,,,,,
March,,,,,,,3.24,2.62,0.61,1.18,,,,,,,,,,
April,,,,,,,2.68,3.84,1.85,1.86,,,,,,,,,,
May,,,,,,,0.72,2.28,4.07,1.35,,,,,,,,,,
June,,,,,,,2.43,1.3,2.9,3.6,,,,,,,,,,
July,,,,,,,2.14,3.6,0.48,3.38,,,,,,,,,,
August,,,,,,,2.2,4.99,4.9,3.02,,,,,,,,,,
September,,,,,,,3.85,2.18,2.35,1.43,,,,,,,,,,
October,,,,,,,1.69,2.78,1.48,0.62,,,,,,,,,,
November,,,,,,,3.13,2.71,6.14,0.98,,,,,,,,,,
December,,,,,,,7.21,1.55,2.46,0.9,,,,,,,,,,
Total,,,,,,,31.56,33.68,30.6,22.9,,,,,,,,,,
