KENTISH-TOWN-RESERVOIR-BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ283861,Long,-0.15061344,Lat,51.559198,Elevation,200,ft.,,,,,,,,,,,,
Station no,RR7743,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.12,1.32,2.02,3.57,-999,1.18,3.02,0.95,4.54,1.18,1.72
February,,,,,,,,,,2.77,1.29,1.31,-999,-999,0.94,1.1,2.3,1.69,1.53,3.69
March,,,,,,,,,,1.94,2.3,-999,-999,-999,0.51,-999,2.38,3.16,0.95,1.26
April,,,,,,,,,,1.33,0.48,-999,-999,-999,1.21,-999,1.79,1.99,4.45,2.81
May,,,,,,,,,,2.69,0.7,0.88,-999,-999,0.9,1.61,0.76,1.94,3.36,3.46
June,,,,,,,,,,1.39,0.8,-999,-999,-999,2.03,3.1,1.48,0.63,3.76,4.7
July,,,,,,,,,,0.61,1.2,-999,-999,-999,1.05,4.05,0.73,3.91,0.6,4.05
August,,,,,,,,,,1.09,2.7,-999,-999,-999,1,1.33,1.98,2.64,4.33,4.67
September,,,,,,,,,,-999,1.9,-999,-999,-999,2.63,2.85,3.14,0.93,1.04,3.2
October,,,,,,,,,,-999,3.6,1.22,-999,-999,3.34,3.57,1.2,1.49,1.9,0.82
November,,,,,,,,,,-999,1.7,-999,3.98,-999,2.14,3.34,3.38,-999,2.82,-999
December,,,,,,,,,,-999,2.8,-999,4.32,-999,1.6,0.88,6.36,-999,2.47,-999
Total,,,,,,,,,,24.26,20.79,24.95,29.91,22.07,18.53,27.34,26.45,28.02,28.39,31.89
,,,,,,,,,,,,,,,,,,,,
"NGR is the location of a disused reservoir in North Kentish Town, which appears to the the location of Kentish Town Waterworks, including a well (the 1860s record appears to include Well below the title). Altitudes match.",,,,,,,,,,,,,,,,,,,,
"Some years have more than one combined reading, which are listed belwo:",,,,,,,,,,,,,,,,,,,,
1869 Sep-Oct,4.83,,,,,,,,,,,,,,,,,,,
1869 Nov-Dec,5.49,,,,,,,,,,,,,,,,,,,
1871 Mar-Apr,4.1,,,,,,,,,,,,,,,,,,,
1871 Jun-Sep,13.62,,,,,,,,,,,,,,,,,,,
1871 Nov-Dec,1.8,,,,,,,,,,,,,,,,,,,
1872 Feb-Mar,1.13,,,,,,,,,,,,,,,,,,,
1872 Apr-Aug,10.82,,,,,,,,,,,,,,,,,,,
1872 Sep-Oct,6.09,,,,,,,,,,,,,,,,,,,
1873 Jan-Mar,5.37,,,,,,,,,,,,,,,,,,,
1873 Apr-Jun,3.47,,,,,,,,,,,,,,,,,,,
1873 Jul-Aug,5.82,,,,,,,,,,,,,,,,,,,
1873 Sep-Oct,5.06,,,,,,,,,,,,,,,,,,,
1873 Nov-Dec,2.35,,,,,,,,,,,,,,,,,,,
