LINCOLN - ST BOTOLPH'S TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK972700,Long,-0.546,Lat,53.218,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
January,1.25,0.60,2.45,1.79,1.13,1.80,1.41,3.05,1.40,0.67,0.18,0.43,1.71,2.20,2.11,1.74,2.68,3.11,0.49,1.47,2.73,1.05,0.98,1.84,1.95,3.30,1.06,2.36,0.83,1.89,3.21,0.62,1.41,1.74,2.11,0.85,3.09,0.81,,1.53,2.33,1.34
February,1.30,2.15,2.40,1.90,1.41,1.18,1.96,2.00,1.07,2.60,1.67,3.30,1.24,2.96,1.43,2.86,0.21,0.61,1.19,1.76,1.16,0.06,2.00,2.55,1.37,0.28,0.63,2.22,0.61,1.19,3.58,1.83,1.39,0.37,3.05,0.53,2.61,1.59,,0.62,0.53,0.95
March,1.10,1.80,1.60,1.35,0.70,0.55,2.84,1.86,0.66,0.66,1.76,1.70,1.05,0.88,1.70,1.42,2.69,0.88,2.75,2.95,1.58,1.05,0.92,0.34,0.48,2.18,1.86,2.02,1.18,0.91,0.70,2.17,1.35,3.43,1.78,1.68,1.86,1.38,,3.40,1.65,1.52
April,0.78,3.11,3.22,0.83,1.13,0.51,2.78,2.33,1.23,1.75,1.67,1.07,3.22,1.84,0.90,1.78,1.38,1.54,1.86,2.49,0.48,1.54,1.56,0.30,2.17,1.77,0.78,1.36,2.43,2.63,1.07,1.29,1.84,1.41,0.92,1.59,0.84,1.87,,1.77,1.35,1.23
May,0.58,1.35,1.00,2.20,1.23,0.98,0.85,2.42,3.43,3.25,0.97,1.77,2.30,1.65,0.90,1.74,4.76,1.29,0.57,3.83,2.09,2.96,3.80,1.22,1.45,0.72,0.62,1.40,2.10,2.96,1.62,0.93,2.60,2.57,2.37,0.55,1.91,3.30,,0.89,3.72,0.82
June,1.60,3.00,3.43,1.36,0.79,2.51,2.35,0.80,2.20,3.65,2.99,1.39,3.32,6.67,0.46,2.33,0.72,0.31,1.54,0.66,2.27,3.28,3.96,1.21,2.94,1.25,4.42,2.72,1.11,1.37,2.76,1.33,2.29,0.78,0.36,2.79,2.04,2.74,,3.11,1.69,3.25
July,0.95,3.20,5.60,1.77,0.61,2.99,1.45,2.76,1.03,3.17,5.38,1.96,2.25,3.00,2.86,0.28,2.23,1.14,5.81,2.26,1.66,3.05,3.19,3.28,3.59,4.18,1.82,0.70,0.88,1.16,1.01,2.72,1.41,2.33,2.46,0.93,0.60,2.12,,4.23,2.62,0.27
August,1.46,1.20,2.66,3.66,1.96,1.56,1.77,3.62,7.31,2.88,1.81,5.03,4.40,1.63,1.46,2.39,1.75,1.48,2.72,3.28,2.16,3.21,1.80,0.90,1.86,1.61,1.60,3.00,2.40,0.64,5.27,1.81,3.29,4.29,2.81,3.45,2.55,2.77,,4.40,3.37,1.29
September,0.95,4.47,2.89,1.75,1.70,1.65,3.25,2.29,2.26,3.15,4.16,1.95,1.87,4.49,1.02,3.64,1.26,2.42,1.59,1.84,1.16,1.11,1.92,0.71,1.04,0.50,3.66,2.92,0.46,2.15,0.69,0.66,0.91,3.31,1.58,2.33,1.80,0.20,,1.66,0.27,1.15
October,3.30,1.90,3.76,2.33,1.36,3.68,1.85,1.14,1.91,0.84,5.52,1.87,5.12,2.79,1.01,5.89,3.17,2.27,0.56,4.47,0.95,4.30,5.12,1.51,3.44,2.72,3.61,0.51,2.68,2.91,2.19,1.16,2.28,5.43,0.28,1.73,4.83,6.04,,2.58,1.90,2.09
