ENFIELD-KING-GEORGES-PUMPING-STATION,,,,,,,,,,
Grid ref,TQ372979,Long,-0.017692825,Lat,51.663139,Elevation,52,ft.,,
Station no,893/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.3,1.19,2.26,1.96,1.64
February,,,,,,0.43,2.96,2.65,0.06,1.65
March,,,,,,0.77,1.06,1.07,1.6,1.4
April,,,,,,0.98,0.01,1.38,2.6,0.47
May,,,,,,0.75,0.77,2.65,0.9,1.77
June,,,,,,3.04,0.72,4.65,0.73,1.1
July,,,,,,3.81,3.18,2.7,1.57,2.75
August,,,,,,3.92,1.91,3.49,1.2,2.49
September,,,,,,1.86,2.34,3.63,0.03,3.46
October,,,,,,2.48,1.86,2.25,1.79,5.75
November,,,,,0.61,0.5,2.32,2.09,2.76,3.86
December,,,,,,2.85,1.79,2.85,3.5,3.11
Total,,,,,,24.69,20.11,31.67,18.7,29.45
,,,,,,,,,,
NGR is from 1950s record and is the pumping station.,,,,,,,,,,
MIDAS src_id 5500 ends 1965,,,,,,,,,,
