EDINBURGH - observer Hadley,,,,,,,,,,
Grid ref,NT262741,Long,-3.1834794,Lat,55.954234,Elevation,300,ft,,
Station no,RR2096,,,,,,,,,
,,,,,,,,,,
,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739
January,,,1.28,1.37,0.59,3,,,,
February,,,2.41,2.52,0.6,3.51,,,,
March,,,0.79,2.64,2.12,5.37,,,,
April,,,3.11,0.82,1.01,1.63,,,,
May,,,4.63,0.08,3.31,0.72,,,,
June,,2.06,1.2,2.14,2.21,,,,,
July,,1.54,3.2,0.64,0.71,,,,,
August,,1.86,1.62,2.68,1.29,,,,,
September,,2.12,0,1.83,1.17,,,,,
October,,1.48,2.52,1.08,1.32,,,,,
November,,1.42,0.41,0.33,1.61,,,,,
December,,3.12,3.62,3.63,2.33,,,,,
Total,,,,19.76,18.27,,,,,
,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-085.csv,,,,,,,,,,
,,,,,,,,,,
ERROR_TYRain_1677-1886_B_pt1-page-084.csv. Data very similar and differences probably reflect rounding issues; this TYR not used in concatenation,,,,,,,,,,
,,,,,,,,,,
No indication of elevation or location.,,,,,,,,,,
Whilst Hadley is a well-known figure in Meteorology he was based in London rather than Scotland,,,,,,,,,,
Could speculate that NGR for this record would be in Calton Hill area where the Edinburgh Obsrvatory is located.,,,,,,,,,,
