BARROWBY (LLOYD),,,,,,,,,,,,,,,,,,,,
Grid ref,SE333478,Long,-1.4929,Lat,53.9253,Elevation,350,ft,,,,,,,,,,,,
Station no,RR374,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
January,,,2.24,2.4,2.2,2,1,1.2,2.1,0.6,0.9,1.2,,,,,,,,
February,,,2.79,1.7,2,3.5,2.2,0.7,1.3,0,1.4,2.7,,,,,,,,
March,,,3.49,0.3,1.1,1.6,1.3,1.9,2.1,0.4,0.5,0.1,,,,,,,,
April,,,1.38,1.9,1.4,0.9,0.9,2.2,0.3,2,4.3,1.5,,,,,,,,
May,,,1.2,4.5,1.75,0.3,0.7,1.4,1.8,3.4,1.4,1.1,,,,,,,,
June,,,3.2,1.3,2.3,1,2.98,3.3,2.1,2.15,0.8,3.2,,,,,,,,
July,,,1.44,0.8,3.63,6.1,3.17,3.64,3.9,5.6,1.3,1.6,,,,,,,,
August,,,1.63,1.825,2,4.2,5,2.76,0.33,2.25,2.45,3.4,,,,,,,,
September,,,4.6,4.875,3.5,2.9,3.47,1.34,2.87,3.55,4.55,5.6,,,,,,,,
October,,,2.3,1.875,0.8,4.3,1.35,4.75,5.3,2.8,3.15,0.3,,,,,,,,
November,,,3.75,2.6,1.4,2.8,3.87,1.45,2.6,2.1,1.95,2.8,,,,,,,,
December,,,0.8,5,2.1,1,1.1,1.5,3.3,4.2,0.2,2.1,,,,,,,,
Total,,,28.82,29.075,24.18,30.6,27.04,26.14,28,29.05,22.9,25.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer George Lloyd, FRS. Manchester merchant and manufacturer, well-skilled in maths and natural philosophy.",,,,,,,,,,,,,,,,,,,,
Died in Barrowby 4 Dec 1783,,,,,,,,,,,,,,,,,,,,
