WREXHAM-WW-RUABON-MOUNTAIN,,,,,,,,,,
Grid ref,SJ237457,Long,-3.1384521,Lat,53.003159,Elevation,1634,ft.,,
Station no,4288/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.01,,4.91,2.71,4.16,5.63,6.98
February,,,,4.17,2.47,0.98,3.94,6.84,1.61,4.78
March,,,,3.1,3.69,2.54,2.31,1.78,2.38,3.22
April,,,,0.97,1.53,2.34,0.51,1.31,5.72,1.98
May,,,,4.63,5.01,0.82,2.06,2.74,2.67,2.06
June,,,,5.3,3.68,2.52,1.62,4.89,2.71,1.66
July,,,,3.75,0.34,5.53,7.11,5.31,3.81,3.66
August,,,,5.51,1.35,8.92,7.82,4.81,1.26,4.47
September,,,,4.3,1.98,4.11,9.74,5.17,0.28,6.04
October,,,1.98,6.18,2.87,2.79,3.34,3.28,4.41,8.96
November,,,3.26,8.77,3.37,1.86,2.69,1.89,5.58,8.23
December,,,2.2,4.15,5.15,4.09,2.78,4.32,7.86,4.31
Total,,,,53.84,,41.41,46.63,46.5,43.92,56.35
,,,,,,,,,,
NGR is from the 1950s record and is on Ruabon Mountain.,,,,,,,,,,
Stated altitudes is 25ft too high or gauge is 100m W.,,,,,,,,,,
"MIDAS src_id 11663, ends 1983",,,,,,,,,,
