CORK GENERAL HOSPITAL AMD - number 1 gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,IW6737272364,Long,-8.4748229,Lat,51.902822,Elevation,39,ft,,,,,,,,,,,,
Station no,RR2064,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.08,3.68,4.97,7.75,5.4,4.81,7.76,11.74,2.51,6.54,,,,
February,,,,,,,2.62,2.67,1.51,2.93,2.57,4.72,6.48,3.95,6.91,1.8,,,,
March,,,,,,,3.13,5.93,3.36,2.42,3.42,2.05,4.31,6.38,2.61,1.59,,,,
April,,,,,,,3.21,2.67,1.16,3.28,2.19,2.71,1.84,5.14,2.65,1.65,,,,
May,,,,,,,1.58,4.58,0.57,6.38,5.32,1.85,2.56,4.1,1.03,2.19,,,,
June,,,,,,,4.08,0.59,0.83,0,0.96,4.97,5.33,4.99,2.02,2.7,,,,
July,,,,,,,0.65,1.92,1.09,3.09,0.06,7.95,7.4,7.1,2.57,2.18,,,,
August,,,,,,,3.9,3.44,4.66,1.23,1.77,2.36,5.63,5.94,2.3,,,,,
September,,,,,,,3.06,0.69,4.82,5.75,4.37,3.53,4.54,4.63,3.93,,,,,
October,,,,,,,2.91,3.38,3.16,1.45,7.68,6.65,4.57,3.54,4.62,,,,,
November,,,,,,,1.59,0.81,5.07,2.09,4.53,3.64,11.31,6.46,5.19,,,,,
December,,,,,,,5.32,1.74,9.61,5.72,4.75,5.86,11.11,1.4,4.64,,,,,
Total,,,,,,,37.13,32.1,40.81,42.09,43.02,51.1,72.84,65.37,40.98,,,,,
,,,,,,,,,,,,,,,,,,,,
No information regarding location or elevation on records,,,,,,,,,,,,,,,,,,,,
"NGR for Cork's North Infirmary, the first general hospital opened in Cork in 1690. Closed 1987",,,,,,,,,,,,,,,,,,,,
Management changed and hospital extended from 1867.,,,,,,,,,,,,,,,,,,,,
