Rainfall at,RHIW BRYFDIR
,
Station no,4336,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,9.90,14.42,13.81,12.19,13.36,
February,,,,,,7.35,12.22,8.28,10.12,16.14,
March,,,,,,5.75,7.42,4.48,13.38,2.94,
April,,,,,,3.30,2.20,13.18,5.55,9.14,
May,,,,,,7.21,4.72,2.67,4.47,4.09,
June,,,,,,1.95,9.04,2.53,2.02,3.76,
July,,,,,,4.29,3.03,9.21,2.83,4.97,
August,,,,,,10.67,8.44,6.72,7.81,4.68,
September,,,,,,4.20,16.37,9.29,2.73,17.08,
October,,,,,,8.12,5.29,15.13,15.80,8.10,
November,,,,,,7.53,15.35,2.88,4.53,12.67,
December,,,,,,4.22,15.97,10.50,19.86,10.62,
Total,,,,,,74.49,114.47,98.68,101.29,107.55,
Calc annual,0.00,0.00,0.00,0.00,0.00,74.49,114.47,98.68,101.29,107.55,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,
