BOWDON-THE-FIRS-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ758869,Long,-2.3652425,Lat,53.378393,Elevation,238,ft.,,,,,,,,,,,,
Station no,RR2210,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,0.63,0.26,,,,,,,,
February,,,,,,,,,,,2.06,4.04,,,,,,,,
March,,,,,,,,,,,2.09,3.23,,,,,,,,
April,,,,,,,,,,,0.93,1.15,,,,,,,,
May,,,,,,,,,,,2.3,3.51,,,,,,,,
June,,,,,,,,,,,3,1.92,,,,,,,,
July,,,,,,,,,,4.18,5.07,,,,,,,,,
August,,,,,,,,,,5.16,2.18,4.81,,,,,,,,
September,,,,,,,,,,3.13,3.89,1.98,,,,,,,,
October,,,,,,,,,,1.54,2.99,,,,,,,,,
November,,,,,,,,,,0.83,3.32,,,,,,,,,
December,,,,,,,,,,1.59,5.31,4.44,,,,,,,,
Total,,,,,,,,,,,33.77,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is 120 yards N of Bowdon Church as described in the record, which is on The Firs. Altitudes match. Gauge moved here in July 1879 from Groby Rod, about 650m ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
