BOWDON-ERLESDENE-SHORTEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ756869,Long,-2.3682488,Lat,53.378384,Elevation,211,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,,,,,,,,,,,3.92,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,3.07,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,2.5,1.5,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,2.58,2.01,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,1.89,3.1,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,1.59,2.24,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,1.45,5.11,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,4.38,0.96,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,2.91,3.91,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,1.19,2.01,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,2.75,3.91,,,,,,,,,
Total,,,,32.34,,,,,,,,,,,,,,,,,32.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Erlesdene on Green Walk, Bowdon. Altitudes match. Gauge moved from The Beeches with same observer. There are 3 gauges at this location, it is possible to link the 1890s and 1900s records but not the earlier records therefore the gauges that give the longest, shortest and intermediatre sequences have been arbitrarily linked. The gauges appear to be in the same location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
