BOWDON-THE-FIRS-5-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ758869,Long,-2.3652425,Lat,53.378393,Elevation,238,ft.,,,,,,,,,,,,
Station no,RR2210,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.31,2.28,3.85,3.14,1.91,4.56,2.46,1.46,1.05,3.44,2.13,3.2,1.21,2.01,2.78,1.2,1.48,1.72,3.13
February,,4.38,2.34,1.74,2.11,2.39,0.68,0.61,0.87,2.89,0.55,0.18,1.71,2.95,3.75,0.22,1.86,2.67,1.83,1
March,,3.38,1.69,1.13,2.36,2.01,2.1,1.73,1.64,1.88,2.51,1.71,1.09,0.52,2.41,2.77,3.89,2.54,0.64,1.56
April,,1.19,3.11,1.75,0.98,1.19,1.74,1.35,1.41,2.29,0.99,2.12,1.63,0.68,1.55,2.33,1.48,2.4,1.72,2.55
May,,3.54,1.32,0.88,1.51,2.27,6.47,2.16,0.52,3.23,2.16,2.43,2.65,2.16,1.83,0.6,0.66,1.92,3.78,2.52
June,,2.11,6,3.59,1.26,2.93,1.68,1.2,2.67,0.58,3.22,2.18,3.82,1.9,2.7,2.37,2.43,4.2,3.14,-999
July,,3.11,5.02,2.83,3.11,1.17,4.1,0.94,5.02,3.09,2.28,2.51,3.43,3.42,2.87,4.6,1.84,1.76,0.5,-999
August,,4.95,3.08,2.27,1.74,1.53,1.68,1.39,3.07,6.09,3.68,4.49,4.02,2.17,4.2,2.71,2.56,2.9,5.01,1.48
September,,2.16,1.86,4.67,2.92,4.29,4.58,3.51,1.09,2.61,0.9,2.79,3.28,3.79,1.13,1.44,5.3,4.1,0.76,4.4
October,,2.9,3.36,5.24,1.86,5.8,5.53,2.44,1.31,2.63,2.04,3.68,3.51,2.67,3.39,2.73,3.81,1.9,3.99,3.4
November,,3.22,5.55,3.28,1.9,2.85,2.25,1.08,4.79,1.94,5.45,2.21,2.25,1.63,1.94,3.22,1.45,4.72,2.2,1.28
December,,4.28,4.46,2.3,3.13,1.84,4.05,2.39,2.11,2.31,0.44,4.86,1.92,3.52,2.65,2.8,4.03,4,2.92,3.18
Total,,35.53,40.07,33.53,26.02,30.18,39.42,21.26,25.96,30.59,27.66,31.29,32.51,26.62,30.43,28.57,30.51,34.59,28.21,27.91
,,,,,,,,,,,,,,,,,,,,
"NGR is 120 yards N of Bowdon Church as described in the record, which is on The Firs. Altitudes match. Gauge moved here in July 1879 from Groby Rod, about 650m ",,,,,,,,,,,,,,,,,,,,
