"AXBRIDGE WINSCOMBE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,,1.98,3.56,,
February,,,,,,,,,1.80,4.09,,
March,,,,,,,,,1.67,0.86,,
April,,,,,,,,,3.96,2.40,,
May,,,,,,,,,6.10,3.34,,
June,,,,,,,,,3.67,6.10,,
July,,,,,,,,,1.52,3.78,,
August,,,,,,,,,5.20,7.29,,
September,,,,,,,,,3.51,4.33,,
October,,,,,,,,,5.75,1.64,,
November,,,,,,,,,3.47,0.57,,
December,,,,,,,,,2.31,1.45,,
Total,,,,,,,,,40.94,39.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.94,39.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
