KIMBOLTON,,,,,,,,,,
Grid ref,SO524615,Long,-2.6986549,Lat,52.249607,Elevation,370,ft,,
Station no,RR4484,,,,,,,,,
,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
January,,,,,,,,,0.3,
February,,,,,,,,,1.7,
March,,,,,,,,,0.7,
April,,,,,,,,,0,
May,,,,,,,,,0.6,
June,,,,,,,,,1.8,
July,,,,,,,,,0.8,
August,,,,,,,,,3.4,
September,,,,,,,,,3.4,
October,,,,,,,,,0.3,
November,,,,,,,,,0.2,
December,,,,,,,,,1.3,
Total,,21.6,32.3,23.6,28,21,24.7,23.8,14.5,
,,,,,,,,,,
No elevation on original record so taken for NGR/elev on record added 19 July 1978,,,,,,,,,,
