STROUD-GREEN-OAKFIELD-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ311881,Long,-0.10950024,Lat,51.576528,Elevation,206,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,2.76,3.31,2.45,,,1.21,2.79,,,,,0.95,2.34,1.29,1.5,1.23,1.37,,,,,,
February,,,,,,,,,1,2.61,0.52,,,3,0.54,,,,,0.56,1.05,1.72,0.17,1.28,0.09,,,,,,
March,,,,,,,,,0.87,3.13,1.49,,,2.2,0.74,,,,,0,1.65,0.15,1.31,2.13,2,,,,,,
April,,,,,,,,,2.92,2.96,3.31,,,1.52,2.95,,,,,1.19,1.65,3.58,2.08,0.86,-999,,,,,,
May,,,,,,,,,2.3,0.33,0.78,,,1.92,3.13,,,,,1.54,3.02,2.48,3.34,1.71,-999,,,,,,
June,,,,,,,,,1.3,1.49,1.82,,,0.5,2.61,,,,,1.18,1.26,1.3,0.68,1.54,-999,,,,,,
July,,,,,,,,,4.64,1.66,3.64,,,2.51,5.1,,,,,2.17,1.7,2.69,2,0.97,-999,,,,,,
August,,,,,,,,,1.41,2.47,1.59,,,1.85,2.02,,,,,1.51,2.57,4.65,2.2,0.54,-999,,,,,,
September,,,,,,,,,5.82,1.4,3.07,,,1.25,2.84,,,,,0.37,3.27,2.64,2.26,2.73,-999,,,,,,
October,,,,,,,,,1.15,0.65,1.11,,,4.99,3.33,,,,,2.92,1.23,0.68,5.08,1.53,-999,,,,,,
November,,,,,,,,,2.1,1.35,1.06,,,1.47,2.27,,,,,5.22,4.55,1.98,1.29,0.87,-999,,,,,,
December,,,,,,,,,2.35,3.58,2.31,,,2.14,3.24,,,,,4.14,1.9,0.88,0.46,0.4,-999,,,,,,
Total,,,,,,,,,28.62,24.94,23.15,,,24.56,31.56,,,,,21.75,26.19,24.04,22.37,15.79,19.82,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on Oakfield at the right altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The road is 700m long but slopes significantly; NGR probably +/- 200m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
