SLAIDBURN-RUSHTON-HILL,,,,,,,,,,
Grid ref,SD733552,Long,-2.4087271,Lat,53.992145,Elevation,625,ft.,,
Station no,3083/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.23,7.03
February,,,,,,,,,1.06,4.91
March,,,,,,,,,2.8,1.74
April,,,,,,,,,3.42,4
May,,,,,,,,,1.44,1.85
June,,,,,,,,,4.01,2.14
July,,,,,,,,,4.3,8.73
August,,,,,,,,,0.55,4.39
September,,,,,,,,,0.4,3.79
October,,,,,,,,,7,4.21
November,,,,,,,,,6.4,10.08
December,,,,,,,,,11.48,7.55
Total,,,,,,,,,46.09,60.42
,,,,,,,,,,
NGR is from the 1950s record and is on Rushton Hill. Altitudes match.,,,,,,,,,,
"MIDAS src_id 12347 ends 1982, but starts 1960!",,,,,,,,,,
