WINCHMORE-HILL-BRAMFORD-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ308948,Long,-0.11132993,Lat,51.636806,Elevation,130,ft.,,,,,,,,,,,,
Station no,RR2326,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.54,1.76,0.3,1.08,1.4,2.4,2.58,1.79,3.87,1.61,0.9,0.93
February,,,,,,,,,1.64,3.78,2.53,3.51,1.33,3.6,1.84,2.92,0.62,0.6,1.16,2.18
March,,,,,,,,,1.09,1.2,0.94,2.28,1.4,0.99,1.86,1.61,1.8,1.66,3.84,1.72
April,,,,,,,,,4.3,3,2.71,0.61,3.37,1.87,1.17,2.83,1.5,0.99,2.4,1.99
May,,,,,,,,,4.6,3.06,0.43,1.08,1.47,1.93,0.79,2.74,4.81,1.87,1.19,3.98
June,,,,,,,,,4.88,4.63,2.32,1.81,2.93,1.07,2.88,1.85,0.8,0.58,1.9,3.98
July,,,,,,,,,0.65,3.64,4.61,2.1,1.99,2.97,,0.32,2.65,0.74,3.77,2.55
August,,,,,,,,,6.85,5.03,1.02,4.52,1.55,1.47,0.86,1.48,0.96,1.92,3.96,2.82
September,,,,,,,,,1.04,3.33,3.61,1.74,2.47,3.89,1.48,4.25,1.5,2.87,0.69,2.79
October,,,,,,,,,1.85,0.58,5.58,2.88,5.47,1.87,1.11,4,2.51,1.35,1.29,3.94
November,,,,,,,,,3.46,0.5,2.15,2.73,2.88,3.4,2.14,3.5,3.2,3.35,4.64,1.06
December,,,,,,,,,2.43,0.62,2.85,3.46,2.98,0.99,3.32,1.25,4.08,1.54,1.13,1.39
Total,,,,,,,,,34.33,31.13,29.05,27.8,29.24,26.45,,28.54,28.3,19.08,26.87,29.33
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is quarter mile NW of Winchmore Hill, have used church for reference purpose but it is not specitfied on the record sheet. Altitude fron OS map. Could be +/- 200m, or more.",,,,,,,,,,,,,,,,,,,,
"1881 does not have a totla in the original record possibly because there is a note saying the gauge changed in June, not sure if this means a new gauge or a change in location. Calculated total added to this record",,,,,,,,,,,,,,,,,,,,
"Bramford Cottage and Broadfields oevrlap for 7.5 years and there is one duplicated reading, which is to be expected",,,,,,,,,,,,,,,,,,,,
