LUDLOW-OBS-MARSTON-GRAVEL-HILL-SOUTH-COTTAGE,,,,,,,,,,,
Grid ref,SO515753,Long,-2.7138304,Lat,52.373584,Elevation,400,ft.,,,
Station no,2267,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,2.41,3.36,3.57,4.49,1.25,
February,,,,,,3.7,2.41,2.1,2,0.6,
March,,,,,,0.58,0.42,2.7,2.76,0.16,
April,,,,,,1.99,1.73,2.08,1.37,0.62,
May,,,,,,3.17,2.69,1.17,0.92,2.62,
June,,,,,,0.11,1.55,3.91,3.8,2.83,
July,,,,,,2.4,2.08,2.48,1.12,1.96,
August,,,,,,2.58,2.41,4.49,2.92,1.32,
September,,,,,,3.65,0.93,3.73,1.54,0.78,
October,,,,,,3.82,2.65,2.17,5.27,4.21,
November,,,,,,1.88,6.6,3.43,4.04,6.68,
December,,,,,,2.73,0.58,2.72,2.28,6.27,
Total,,,,,,29.02,27.41,34.55,32.51,29.3,
,,,,,,,,,,,
NOTES,,,,,,,,,,,
"NGR is north end of Gravel Hill and even here the altitudes do not match. Observer C B Marston moved gauge in 1927 to South Cot (assume to be cottage) not sure where this is but the church relationship suggests 400 to 500 yards east. The gauge moved in 1930 to Hill Crest, a separate record.",,,,,,,,,,,
