LUDLOW-OBS-MARSTON-HILL-CREST,,,,,,,,,,
Grid ref,SO508745,Long,-2.7239941,Lat,52.36633,Elevation,270,ft.,,
Station no,2267/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.28,1.98,2.48,3.43,5.36
February,,,,,,0.39,2.82,5.22,0.44,3.3
March,,,,,,0.75,2.26,1.51,2.11,2.06
April,,,,,,1.38,0.1,0.37,2.79,1.68
May,,,,,,0.66,1.92,2.13,0.78,2.09
June,,,,,,2.26,1.77,4.01,2.38,2.4
July,,,,,,4.19,3.12,3.97,2.56,3.29
August,,,,,,4.94,6.64,2.89,1.56,4.42
September,,,,,,3.03,5.53,7.37,0.02,3.86
October,,,,,1.77,1.93,1.51,3.11,2.7,5.9
November,,,,,2.91,1.06,2.25,2.24,3.86,6.08
December,,,,,2.83,2.97,2.14,3.01,6.22,3.9
Total,,,,,,26.84,32.04,38.31,28.85,44.34
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is from 1950 record but might be 100 yards too far east. Gauge moved here from Hill Crest in Oct 1955; the observer is the original observers son,,,,,,,,,,
