ACTON-SCOTT-WOOD-ACTON,,,,,,,,,,
Grid ref,SO453892,Long,-2.8071723,Lat,52.497947,Elevation,660,ft.,,
Station no,2274/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.31,3.27,3.94,6.24
February,,,,,,,2.94,5.03,0.4,3.96
March,,,,,,,2.44,1.57,2.7,2.38
April,,,,,,,0.19,0.61,3.7,1.75
May,,,,,,,1.86,2.76,1.34,1.54
June,,,,,,,1.98,4.34,2.02,2.33
July,,,,,,,4.04,3.75,2.21,3.79
August,,,,,,,6.7,3.86,0.9,4.93
September,,,,,,,6,5.46,0.04,4.21
October,,,,,,,1.98,3.45,3.55,6.99
November,,,,,,,2.71,2.55,4.02,6.35
December,,,,,,,2.89,2.69,6.42,3.86
Total,,,,,,,36.04,39.34,31.24,48.33
,,,,,,,,,,
"NGR is from 1950s record, which is close to Acton Scott. Stated altitude is 60 ft too low, OS figure used",,,,,,,,,,
MIDAS src_id 10065 ends 1972 but places gauge 220m SSW and a better match to altitude. Did gauge move?,,,,,,,,,,
