"CLATTERINGSHAWS (TUNNEL INTAKE) - NEW SITE",,,,,,,,,,,,
Grid ref,NX554780,Long,-4.266404,Lat,55.075330,,,,,,,
Station no,5015/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,8.00,,
February,,,,,,,,,,9.48,,
March,,,,,,,,,,2.54,,
April,,,,,,,,,,8.97,,
May,,,,,,,,,,3.00,,
June,,,,,,,,,,3.89,,
July,,,,,,,,,,6.48,,
August,,,,,,,,,,5.94,,
September,,,,,,,,,,5.15,,
October,,,,,,,,,,7.23,,
November,,,,,,,,,,13.71,,
December,,,,,,,,,,9.13,,
Total,,,,,,,,,,83.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
