WADEBRIDGE ST BREOKE,,,,,,,,,,
Grid ref,SX000719,Long,-4.821,Lat,50.513,Elevation,20,ft,,
Station no ,RR4490,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January ,,,,,,,,,,3.02
February ,,,,,,,,,,3.7
March ,,,,,,,,,,1.7
April ,,,,,,,,,,0.65
May ,,,,,,,,,,2.74
June ,,,,,,,,,,0.74
July ,,,,,,,,,,0.13
August ,,,,,,,,,,0.76
September ,,,,,,,,,,4.32
October ,,,,,,,,,,2.62
November ,,,,,,,,,,2.38
December ,,,,,,,,,,3.84
Total ,,,,,,,,,,26.6
,,,,,,,,,,
,,,,,,,,,,
IDR 1869 May,,,,,,,,,,
,,,,,,,,,,
Gauge moved briefly to Wadebridge: Egloshayle Vicarage,,,,,,,,,,
