IRVINE (RAVENSPARK HOSPITAL),,,,,,,,,,,,
Grid ref,NS311406,Long,-4.684362,Lat,55.629548,,,,,,,
Station no,5233/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.37,3.93,2.16,4.41,2.48,3.18,3.69,4.60,1.37,3.78,,
February,2.84,2.56,1.52,3.29,2.37,1.45,2.12,3.17,1.41,2.26,,
March,2.89,3.89,0.65,2.41,1.42,2.17,4.41,1.06,1.63,1.97,,
April,1.71,1.79,1.08,1.19,2.72,1.33,2.66,1.28,2.75,2.40,,
May,2.03,1.58,1.79,2.41,3.50,2.09,2.08,2.88,1.12,1.74,,
June,2.06,3.00,0.88,3.96,2.80,2.07,2.48,2.41,3.60,2.15,,
July,2.30,3.07,4.35,3.74,1.28,4.41,4.85,4.37,4.94,3.76,,
August,3.99,3.89,2.50,4.75,1.16,6.44,3.71,3.11,0.49,3.54,,
September,3.09,2.87,4.07,6.50,4.84,3.94,3.89,4.27,1.54,3.75,,
October,0.83,4.81,3.51,8.59,2.37,2.68,4.80,4.11,5.06,2.28,,
November,4.79,2.29,5.92,5.66,2.13,1.52,1.91,1.83,3.23,3.89,,
December,6.29,4.28,4.52,5.39,6.71,4.59,3.21,4.72,5.06,5.51,,
Total,37.19,37.96,32.95,52.30,33.78,35.87,39.81,37.81,32.20,37.03,,
Calc annual,37.19,37.96,32.95,52.30,33.78,35.87,39.81,37.81,32.20,37.03,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
